Trunk Main,Average CV (%)
HX14,24.042392568687877
HX03,32.644792487424986
hx09,32.71734080617773
FB90,37.73218408607137
PX19,38.49414447048082
MS99,38.60019935852135
DL01,38.77165030639134
TX02,40.303534308789004
AX10,40.318159191072645
BT09,40.38331396106737
NX13,40.71305023101745
NX12,42.13367797083714
PX03,44.995221048013846
px06,46.90717066454988
px07,47.08207719722531
OD14,47.647636920236025
CS16,50.010469438821175
AX16,51.33301292613377
PX12,52.734941111915894
BE11,56.266630541280115
