Date of Reading,(CUS) LR0430 (Flow) (Flow (m3/hr)),(IN) LR0401 (Flow) (Flow (m3/hr)),Peacehaven WWTW trunk main (Balance) (Flow (m3/hr))
05/04/2022 00:00:00,3.8,5.84,2.04
05/04/2022 00:15:00,3.4,5.28,1.88
05/04/2022 00:30:00,3,4.8,1.8
05/04/2022 00:45:00,2.8,4.36,1.56
05/04/2022 01:00:00,2.4,4.04,1.64
05/04/2022 01:15:00,2.4,3.68,1.28
05/04/2022 01:30:00,2.2,3.36,1.16
05/04/2022 01:45:00,1.8,3.12,1.32
05/04/2022 02:00:00,2,2.88,0.88
05/04/2022 02:15:00,1.6,2.8,1.2
05/04/2022 02:30:00,1.8,2.68,0.88
05/04/2022 02:45:00,1.6,2.64,1.04
05/04/2022 03:00:00,1.6,2.64,1.04
05/04/2022 03:15:00,2,3.12,1.12
05/04/2022 03:30:00,2.8,4.36,1.56
05/04/2022 03:45:00,3.8,6,2.2
05/04/2022 04:00:00,4,6.28,2.28
05/04/2022 04:15:00,3.6,5.8,2.2
05/04/2022 04:30:00,3.4,5.2,1.8
05/04/2022 04:45:00,2.8,4.6,1.8
05/04/2022 05:00:00,2.6,4.12,1.52
05/04/2022 05:15:00,2.4,3.8,1.4
05/04/2022 05:30:00,2.4,3.56,1.16
05/04/2022 05:45:00,2,3.28,1.28
05/04/2022 06:00:00,2,3,1
05/04/2022 06:15:00,1.8,2.92,1.12
05/04/2022 06:30:00,1.6,2.76,1.16
05/04/2022 06:45:00,1.8,2.64,0.84
05/04/2022 07:00:00,1.6,2.68,1.08
05/04/2022 07:15:00,1.8,3,1.2
05/04/2022 07:30:00,2.6,3.96,1.36
05/04/2022 07:45:00,3.4,5.48,2.08
05/04/2022 08:00:00,4.2,6.36,2.16
05/04/2022 08:15:00,3.6,5.88,2.28
05/04/2022 08:30:00,3.4,5.36,1.96
05/04/2022 08:45:00,3,4.72,1.72
05/04/2022 09:00:00,3,4.56,1.56
05/04/2022 09:15:00,2.6,4.16,1.56
05/04/2022 09:30:00,2.4,3.88,1.48
05/04/2022 09:45:00,2.4,3.6,1.2
05/04/2022 10:00:00,2,3.4,1.4
05/04/2022 10:15:00,2,3.08,1.08
05/04/2022 10:30:00,2,3.08,1.08
05/04/2022 10:45:00,1.8,3.08,1.28
05/04/2022 11:00:00,2.8,4.4,1.6
05/04/2022 11:15:00,5.8,8.96,3.16
05/04/2022 11:30:00,9,14.08,5.08
05/04/2022 11:45:00,11.4,17.96,6.56
05/04/2022 12:00:00,12,18.96,6.96
05/04/2022 12:15:00,11.4,18.08,6.68
05/04/2022 12:30:00,11.6,18.12,6.52
05/04/2022 12:45:00,11.8,18.52,6.72
05/04/2022 13:00:00,11.6,18.36,6.76
05/04/2022 13:15:00,10,15.48,5.48
05/04/2022 13:30:00,8.8,13.6,4.8
05/04/2022 13:45:00,8,12.64,4.64
05/04/2022 14:00:00,7.8,11.96,4.16
05/04/2022 14:15:00,6,9.2,3.2
05/04/2022 14:30:00,4.6,7.32,2.72
05/04/2022 14:45:00,4,6.12,2.12
05/04/2022 15:00:00,3.4,5.36,1.96
05/04/2022 15:15:00,3,4.72,1.72
05/04/2022 15:30:00,3.2,5.16,1.96
05/04/2022 15:45:00,4,6.28,2.28
05/04/2022 16:00:00,5.2,7.96,2.76
05/04/2022 16:15:00,5.4,8.44,3.04
05/04/2022 16:30:00,4.6,7.4,2.8
05/04/2022 16:45:00,4,6.32,2.32
05/04/2022 17:00:00,3.6,5.44,1.84
05/04/2022 17:15:00,3,4.72,1.72
05/04/2022 17:30:00,2.6,4.24,1.64
05/04/2022 17:45:00,2.4,3.84,1.44
05/04/2022 18:00:00,2.2,3.44,1.24
05/04/2022 18:15:00,2,3.2,1.2
05/04/2022 18:30:00,1.8,2.88,1.08
05/04/2022 18:45:00,1.8,2.76,0.96
05/04/2022 19:00:00,1.6,2.64,1.04
05/04/2022 19:15:00,1.6,2.52,0.92
05/04/2022 19:30:00,1.8,2.8,1
05/04/2022 19:45:00,2.4,3.72,1.32
05/04/2022 20:00:00,3.4,5.32,1.92
05/04/2022 20:15:00,4.2,6.72,2.52
05/04/2022 20:30:00,3.8,6.28,2.48
05/04/2022 20:45:00,3.6,5.56,1.96
05/04/2022 21:00:00,3.2,4.96,1.76
05/04/2022 21:15:00,2.8,4.48,1.68
05/04/2022 21:30:00,2.6,4.08,1.48
05/04/2022 21:45:00,2.4,3.72,1.32
05/04/2022 22:00:00,2,3.44,1.44
05/04/2022 22:15:00,2.2,3.24,1.04
05/04/2022 22:30:00,1.8,3.12,1.32
05/04/2022 22:45:00,2,2.96,0.96
05/04/2022 23:00:00,1.6,2.8,1.2
05/04/2022 23:15:00,1.8,2.64,0.84
05/04/2022 23:30:00,1.8,2.92,1.12
05/04/2022 23:45:00,2.2,3.72,1.52
06/04/2022 00:00:00,3.4,5.24,1.84
06/04/2022 00:15:00,4.2,6.76,2.56
06/04/2022 00:30:00,4.2,6.56,2.36
06/04/2022 00:45:00,3.8,5.84,2.04
06/04/2022 01:00:00,3.2,5.16,1.96
06/04/2022 01:15:00,3,4.68,1.68
06/04/2022 01:30:00,2.6,4.2,1.6
06/04/2022 01:45:00,2.4,3.8,1.4
06/04/2022 02:00:00,2.2,3.52,1.32
06/04/2022 02:15:00,2,3.24,1.24
06/04/2022 02:30:00,2,3.04,1.04
06/04/2022 02:45:00,1.8,2.84,1.04
06/04/2022 03:00:00,1.6,2.76,1.16
06/04/2022 03:15:00,1.8,2.68,0.88
06/04/2022 03:30:00,1.8,2.8,1
06/04/2022 03:45:00,2,3.44,1.44
06/04/2022 04:00:00,5,7.84,2.84
06/04/2022 04:15:00,9.8,15.4,5.6
06/04/2022 04:30:00,9.4,14.88,5.48
06/04/2022 04:45:00,8.4,13.32,4.92
06/04/2022 05:00:00,8.4,12.92,4.52
06/04/2022 05:15:00,7.6,11.92,4.32
06/04/2022 05:30:00,5.8,9.16,3.36
06/04/2022 05:45:00,4.6,7.16,2.56
06/04/2022 06:00:00,3.8,5.84,2.04
06/04/2022 06:15:00,3.6,5.68,2.08
06/04/2022 06:30:00,5,7.84,2.84
06/04/2022 06:45:00,6,9.64,3.64
06/04/2022 07:00:00,6.2,9.6,3.4
06/04/2022 07:15:00,6.2,9.64,3.44
06/04/2022 07:30:00,6.4,10.28,3.88
06/04/2022 07:45:00,11,17.32,6.32
06/04/2022 08:00:00,14.4,22.88,8.48
06/04/2022 08:15:00,14.6,22.96,8.36
06/04/2022 08:30:00,11.2,17.16,5.96
06/04/2022 08:45:00,7.6,11.64,4.04
06/04/2022 09:00:00,5.6,8.76,3.16
06/04/2022 09:15:00,4.4,6.92,2.52
06/04/2022 09:30:00,3.8,5.72,1.92
06/04/2022 09:45:00,3,4.8,1.8
06/04/2022 10:00:00,2.6,4.2,1.6
06/04/2022 10:15:00,2.4,3.88,1.48
06/04/2022 10:30:00,2.2,3.4,1.2
06/04/2022 10:45:00,2,3.16,1.16
06/04/2022 11:00:00,2,3.08,1.08
06/04/2022 11:15:00,1.8,3.04,1.24
06/04/2022 11:30:00,1.8,2.92,1.12
06/04/2022 11:45:00,2,2.92,0.92
06/04/2022 12:00:00,2.2,3.52,1.32
06/04/2022 12:15:00,3,4.84,1.84
06/04/2022 12:30:00,4,6.28,2.28
06/04/2022 12:45:00,4.2,6.76,2.56
06/04/2022 13:00:00,4,6.16,2.16
06/04/2022 13:15:00,3.4,5.48,2.08
06/04/2022 13:30:00,3.2,5,1.8
06/04/2022 13:45:00,2.8,4.52,1.72
06/04/2022 14:00:00,2.6,4.08,1.48
06/04/2022 14:15:00,2.4,3.68,1.28
06/04/2022 14:30:00,2.2,3.64,1.44
06/04/2022 14:45:00,2.2,3.64,1.44
06/04/2022 15:00:00,2,3.16,1.16
06/04/2022 15:15:00,2,2.92,0.92
06/04/2022 15:30:00,1.8,3.08,1.28
06/04/2022 15:45:00,1.8,2.72,0.92
06/04/2022 16:00:00,1.8,3.12,1.32
06/04/2022 16:15:00,2.6,4.08,1.48
06/04/2022 16:30:00,3.6,5.68,2.08
06/04/2022 16:45:00,4.4,6.76,2.36
06/04/2022 17:00:00,4,6.28,2.28
06/04/2022 17:15:00,3.4,5.6,2.2
06/04/2022 17:30:00,4,6.2,2.2
06/04/2022 17:45:00,5.4,8.44,3.04
06/04/2022 18:00:00,5.8,9.12,3.32
06/04/2022 18:15:00,6,9.64,3.64
06/04/2022 18:30:00,6.8,10.72,3.92
06/04/2022 18:45:00,7.2,11.2,4
06/04/2022 19:00:00,5.8,9.16,3.36
06/04/2022 19:15:00,4.8,7.48,2.68
06/04/2022 19:30:00,4,6.36,2.36
06/04/2022 19:45:00,3.4,5.52,2.12
06/04/2022 20:00:00,3.2,4.8,1.6
06/04/2022 20:15:00,2.8,4.48,1.68
06/04/2022 20:30:00,3.2,5.04,1.84
06/04/2022 20:45:00,4,6.32,2.32
06/04/2022 21:00:00,5,7.88,2.88
06/04/2022 21:15:00,5.4,8.24,2.84
06/04/2022 21:30:00,4.6,7.24,2.64
06/04/2022 21:45:00,3.8,6.2,2.4
06/04/2022 22:00:00,3.4,5.36,1.96
06/04/2022 22:15:00,3,4.76,1.76
06/04/2022 22:30:00,2.8,4.32,1.52
06/04/2022 22:45:00,2.4,3.88,1.48
06/04/2022 23:00:00,2.4,3.68,1.28
06/04/2022 23:15:00,2,3.28,1.28
06/04/2022 23:30:00,2,3,1
06/04/2022 23:45:00,1.8,2.8,1
07/04/2022 00:00:00,1.6,2.72,1.12
07/04/2022 00:15:00,1.6,2.6,1
07/04/2022 00:30:00,1.8,3,1.2
07/04/2022 00:45:00,2.6,4.08,1.48
07/04/2022 01:00:00,3.8,5.8,2
07/04/2022 01:15:00,4.4,7.12,2.72
07/04/2022 01:30:00,4.2,6.52,2.32
07/04/2022 01:45:00,3.6,5.76,2.16
07/04/2022 02:00:00,3.2,5.12,1.92
07/04/2022 02:15:00,3,4.56,1.56
07/04/2022 02:30:00,2.6,4.12,1.52
07/04/2022 02:45:00,2.4,3.8,1.4
07/04/2022 03:00:00,2.2,3.48,1.28
07/04/2022 03:15:00,2,3.28,1.28
07/04/2022 03:30:00,2,3.08,1.08
07/04/2022 03:45:00,1.8,2.88,1.08
07/04/2022 04:00:00,1.8,2.76,0.96
07/04/2022 04:15:00,1.6,2.6,1
07/04/2022 04:30:00,1.8,2.84,1.04
07/04/2022 04:45:00,2.2,3.76,1.56
07/04/2022 05:00:00,3.4,5.28,1.88
07/04/2022 05:15:00,4.2,6.72,2.52
07/04/2022 05:30:00,4.2,6.48,2.28
07/04/2022 05:45:00,3.8,5.88,2.08
07/04/2022 06:00:00,4.4,7.2,2.8
07/04/2022 06:15:00,6.4,10.24,3.84
07/04/2022 06:30:00,7,11,4
07/04/2022 06:45:00,7,10.76,3.76
07/04/2022 07:00:00,6.6,10.64,4.04
07/04/2022 07:15:00,7,10.8,3.8
07/04/2022 07:30:00,8.4,13.4,5
07/04/2022 07:45:00,10.4,16.2,5.8
07/04/2022 08:00:00,11.8,18.88,7.08
07/04/2022 08:15:00,11,17.04,6.04
07/04/2022 08:30:00,10.2,16.28,6.08
07/04/2022 08:45:00,11.6,18.12,6.52
07/04/2022 09:00:00,13.8,21.76,7.96
07/04/2022 09:15:00,12.6,19.6,7
07/04/2022 09:30:00,8.8,13.72,4.92
07/04/2022 09:45:00,6.4,9.96,3.56
07/04/2022 10:00:00,5,7.76,2.76
07/04/2022 10:15:00,4.2,6.44,2.24
07/04/2022 10:30:00,3.6,5.68,2.08
07/04/2022 10:45:00,3.4,5.28,1.88
07/04/2022 11:00:00,3.2,5,1.8
07/04/2022 11:15:00,2.8,4.72,1.92
07/04/2022 11:30:00,2.8,4.36,1.56
07/04/2022 11:45:00,2.6,4,1.4
07/04/2022 12:00:00,2.2,3.52,1.32
07/04/2022 12:15:00,2,3.28,1.28
07/04/2022 12:30:00,2.2,3.36,1.16
07/04/2022 12:45:00,2.4,3.96,1.56
07/04/2022 13:00:00,3.4,5.4,2
07/04/2022 13:15:00,4.4,6.96,2.56
07/04/2022 13:30:00,4.8,7.44,2.64
07/04/2022 13:45:00,4.4,6.88,2.48
07/04/2022 14:00:00,3.8,6,2.2
07/04/2022 14:15:00,3.4,5.28,1.88
07/04/2022 14:30:00,3,4.72,1.72
07/04/2022 14:45:00,2.6,4.28,1.68
07/04/2022 15:00:00,2.6,3.88,1.28
07/04/2022 15:15:00,2.2,3.68,1.48
07/04/2022 15:30:00,2.2,3.52,1.32
07/04/2022 15:45:00,1.8,2.92,1.12
07/04/2022 16:00:00,1.8,2.8,1
07/04/2022 16:15:00,1.6,2.64,1.04
07/04/2022 16:30:00,1.8,2.64,0.84
07/04/2022 16:45:00,1.6,2.6,1
07/04/2022 17:00:00,1.6,2.48,0.88
07/04/2022 17:15:00,1.4,2.44,1.04
07/04/2022 17:30:00,1.6,2.4,0.8
07/04/2022 17:45:00,1.4,2.36,0.96
07/04/2022 18:00:00,1.6,2.44,0.84
07/04/2022 18:15:00,1.6,2.76,1.16
07/04/2022 18:30:00,1.6,2.44,0.84
07/04/2022 18:45:00,1.4,2.32,0.92
07/04/2022 19:00:00,1.6,2.36,0.76
07/04/2022 19:15:00,1.4,2.36,0.96
07/04/2022 19:30:00,1.4,2.32,0.92
07/04/2022 19:45:00,1.4,2.36,0.96
07/04/2022 20:00:00,1.6,2.32,0.72
07/04/2022 20:15:00,1.4,2.32,0.92
07/04/2022 20:30:00,1.4,2.36,0.96
07/04/2022 20:45:00,1.4,2.32,0.92
07/04/2022 21:00:00,1.4,2.32,0.92
07/04/2022 21:15:00,1.4,2.32,0.92
07/04/2022 21:30:00,1.6,2.32,0.72
07/04/2022 21:45:00,1.4,2.32,0.92
07/04/2022 22:00:00,1.4,2.4,1
07/04/2022 22:15:00,1.8,2.76,0.96
07/04/2022 22:30:00,2.2,3.36,1.16
07/04/2022 22:45:00,2.4,4.12,1.72
07/04/2022 23:00:00,4.4,6.72,2.32
07/04/2022 23:15:00,11.6,18.64,7.04
07/04/2022 23:30:00,13.2,20.92,7.72
07/04/2022 23:45:00,11.6,17.96,6.36
08/04/2022 00:00:00,9.4,14.76,5.36
08/04/2022 00:15:00,8.8,13.72,4.92
08/04/2022 00:30:00,6.8,10.48,3.68
08/04/2022 00:45:00,5,7.76,2.76
08/04/2022 01:00:00,4,6,2
08/04/2022 01:15:00,3,4.88,1.88
08/04/2022 01:30:00,2.6,4.08,1.48
08/04/2022 01:45:00,2.2,3.52,1.32
08/04/2022 02:00:00,2,3.12,1.12
08/04/2022 02:15:00,1.8,2.88,1.08
08/04/2022 02:30:00,1.6,2.72,1.12
08/04/2022 02:45:00,1.8,2.64,0.84
08/04/2022 03:00:00,1.6,2.6,1
08/04/2022 03:15:00,1.6,2.56,0.96
08/04/2022 03:30:00,1.6,2.56,0.96
08/04/2022 03:45:00,1.4,2.56,1.16
08/04/2022 04:00:00,1.6,2.52,0.92
08/04/2022 04:15:00,1.6,2.48,0.88
08/04/2022 04:30:00,1.6,2.52,0.92
08/04/2022 04:45:00,1.6,2.52,0.92
08/04/2022 05:00:00,1.4,2.44,1.04
08/04/2022 05:15:00,1.6,2.48,0.88
08/04/2022 05:30:00,1.6,2.48,0.88
08/04/2022 05:45:00,1.4,2.44,1.04
08/04/2022 06:00:00,1.6,2.6,1
08/04/2022 06:15:00,1.6,2.6,1
08/04/2022 06:30:00,1.6,2.52,0.92
08/04/2022 06:45:00,1.6,2.56,0.96
08/04/2022 07:00:00,1.6,2.6,1
08/04/2022 07:15:00,1.6,2.56,0.96
08/04/2022 07:30:00,1.6,2.52,0.92
08/04/2022 07:45:00,1.6,2.52,0.92
08/04/2022 08:00:00,1.6,2.48,0.88
08/04/2022 08:15:00,1.4,2.44,1.04
08/04/2022 08:30:00,1.6,2.44,0.84
08/04/2022 08:45:00,1.6,2.6,1
08/04/2022 09:00:00,1.4,2.44,1.04
08/04/2022 09:15:00,1.6,2.48,0.88
08/04/2022 09:30:00,1.6,2.56,0.96
08/04/2022 09:45:00,1.6,2.56,0.96
08/04/2022 10:00:00,1.4,2.48,1.08
08/04/2022 10:15:00,1.6,2.4,0.8
08/04/2022 10:30:00,1.4,2.44,1.04
08/04/2022 10:45:00,1.6,2.52,0.92
08/04/2022 11:00:00,1.6,2.52,0.92
08/04/2022 11:15:00,1.6,2.4,0.8
08/04/2022 11:30:00,1.4,2.44,1.04
08/04/2022 11:45:00,1.6,2.4,0.8
08/04/2022 12:00:00,1.4,2.44,1.04
08/04/2022 12:15:00,1.6,2.48,0.88
08/04/2022 12:30:00,1.6,2.52,0.92
08/04/2022 12:45:00,1.4,2.52,1.12
08/04/2022 13:00:00,1.6,2.48,0.88
08/04/2022 13:15:00,1.4,2.4,1
08/04/2022 13:30:00,1.8,2.6,0.8
08/04/2022 13:45:00,2,3.44,1.44
08/04/2022 14:00:00,3,4.76,1.76
08/04/2022 14:15:00,3.4,5.12,1.72
08/04/2022 14:30:00,3.2,5.12,1.92
08/04/2022 14:45:00,2.8,4.52,1.72
08/04/2022 15:00:00,2.6,4.12,1.52
08/04/2022 15:15:00,2.4,3.88,1.48
08/04/2022 15:30:00,2.4,3.64,1.24
08/04/2022 15:45:00,2.2,3.48,1.28
08/04/2022 16:00:00,2,3.28,1.28
08/04/2022 16:15:00,2,3.16,1.16
08/04/2022 16:30:00,1.8,2.92,1.12
08/04/2022 16:45:00,1.8,2.84,1.04
08/04/2022 17:00:00,1.6,2.72,1.12
08/04/2022 17:15:00,1.8,2.64,0.84
08/04/2022 17:30:00,1.8,3.08,1.28
08/04/2022 17:45:00,2.8,4.4,1.6
08/04/2022 18:00:00,4,6.12,2.12
08/04/2022 18:15:00,6.6,10.52,3.92
08/04/2022 18:30:00,11.6,18.2,6.6
08/04/2022 18:45:00,13.6,21.68,8.08
08/04/2022 19:00:00,13.6,21.64,8.04
08/04/2022 19:15:00,14.2,22.2,8
08/04/2022 19:30:00,13.4,20.72,7.32
08/04/2022 19:45:00,11,17.24,6.24
08/04/2022 20:00:00,11,17,6
08/04/2022 20:15:00,11.2,17.16,5.96
08/04/2022 20:30:00,8.4,13.16,4.76
08/04/2022 20:45:00,6.2,9.6,3.4
08/04/2022 21:00:00,4.8,7.48,2.68
08/04/2022 21:15:00,4,6.12,2.12
08/04/2022 21:30:00,4,6.28,2.28
08/04/2022 21:45:00,4.6,7.28,2.68
08/04/2022 22:00:00,5.6,8.52,2.92
08/04/2022 22:15:00,5.8,9.08,3.28
08/04/2022 22:30:00,5,7.96,2.96
08/04/2022 22:45:00,4.4,6.76,2.36
08/04/2022 23:00:00,3.6,5.76,2.16
08/04/2022 23:15:00,3.2,4.96,1.76
08/04/2022 23:30:00,2.6,4.32,1.72
08/04/2022 23:45:00,2.4,3.8,1.4
09/04/2022 00:00:00,2.2,3.44,1.24
09/04/2022 00:15:00,2,3.24,1.24
09/04/2022 00:30:00,2,3.16,1.16
09/04/2022 00:45:00,2,3.08,1.08
09/04/2022 01:00:00,2,3.08,1.08
09/04/2022 01:15:00,1.8,3.04,1.24
09/04/2022 01:30:00,2,3.04,1.04
09/04/2022 01:45:00,2.2,3.44,1.24
09/04/2022 02:00:00,2.8,4.64,1.84
09/04/2022 02:15:00,4,6.12,2.12
09/04/2022 02:30:00,3.8,6.04,2.24
09/04/2022 02:45:00,3.6,5.52,1.92
09/04/2022 03:00:00,3,5.04,2.04
09/04/2022 03:15:00,3,4.56,1.56
09/04/2022 03:30:00,2.6,4.12,1.52
09/04/2022 03:45:00,2.4,3.76,1.36
09/04/2022 04:00:00,2.2,3.52,1.32
09/04/2022 04:15:00,2,3.28,1.28
09/04/2022 04:30:00,2,3.16,1.16
09/04/2022 04:45:00,2,3.08,1.08
09/04/2022 05:00:00,2,3.08,1.08
09/04/2022 05:15:00,1.8,3.04,1.24
09/04/2022 05:30:00,2,3.04,1.04
09/04/2022 05:45:00,2,3.24,1.24
09/04/2022 06:00:00,2.6,4.16,1.56
09/04/2022 06:15:00,3.6,5.64,2.04
09/04/2022 06:30:00,3.8,6.04,2.24
09/04/2022 06:45:00,3.4,5.48,2.08
09/04/2022 07:00:00,3.2,5,1.8
09/04/2022 07:15:00,2.8,4.52,1.72
09/04/2022 07:30:00,2.8,4.2,1.4
09/04/2022 07:45:00,2.4,3.92,1.52
09/04/2022 08:00:00,2.4,3.68,1.28
09/04/2022 08:15:00,2.2,3.52,1.32
09/04/2022 08:30:00,2,3.28,1.28
09/04/2022 08:45:00,2,3.12,1.12
09/04/2022 09:00:00,1.8,3.04,1.24
09/04/2022 09:15:00,2,3.08,1.08
09/04/2022 09:30:00,2,3.16,1.16
09/04/2022 09:45:00,2,3.32,1.32
09/04/2022 10:00:00,2.8,4.2,1.4
09/04/2022 10:15:00,3.4,5.4,2
09/04/2022 10:30:00,5.8,9.16,3.36
09/04/2022 10:45:00,7.4,11.6,4.2
09/04/2022 11:00:00,7.2,11.36,4.16
09/04/2022 11:15:00,7,11.12,4.12
09/04/2022 11:30:00,7.2,11.04,3.84
09/04/2022 11:45:00,6.8,11.04,4.24
09/04/2022 12:00:00,5.8,8.84,3.04
09/04/2022 12:15:00,4.6,7.28,2.68
09/04/2022 12:30:00,4,6.12,2.12
09/04/2022 12:45:00,3.2,5.24,2.04
09/04/2022 13:00:00,3.2,5,1.8
09/04/2022 13:15:00,4.6,7.04,2.44
09/04/2022 13:30:00,5.8,9.2,3.4
09/04/2022 13:45:00,7.6,12.2,4.6
09/04/2022 14:00:00,10.4,16.4,6
09/04/2022 14:15:00,12,19,7
09/04/2022 14:30:00,13.8,21.64,7.84
09/04/2022 14:45:00,12.6,19.96,7.36
09/04/2022 15:00:00,10.8,16.68,5.88
09/04/2022 15:15:00,7.4,11.36,3.96
09/04/2022 15:30:00,5.4,8.44,3.04
09/04/2022 15:45:00,4.2,6.72,2.52
09/04/2022 16:00:00,3.6,5.52,1.92
09/04/2022 16:15:00,3,4.6,1.6
09/04/2022 16:30:00,2.6,4.12,1.52
09/04/2022 16:45:00,2.2,3.64,1.44
09/04/2022 17:00:00,2.2,3.36,1.16
09/04/2022 17:15:00,2,3.28,1.28
09/04/2022 17:30:00,1.8,3,1.2
09/04/2022 17:45:00,2,2.92,0.92
09/04/2022 18:00:00,1.8,2.96,1.16
09/04/2022 18:15:00,2.4,3.8,1.4
09/04/2022 18:30:00,3.4,5.36,1.96
09/04/2022 18:45:00,4.4,7,2.6
09/04/2022 19:00:00,4.2,6.6,2.4
09/04/2022 19:15:00,3.6,5.92,2.32
09/04/2022 19:30:00,3.4,5.16,1.76
09/04/2022 19:45:00,2.8,4.64,1.84
09/04/2022 20:00:00,2.6,4.16,1.56
09/04/2022 20:15:00,2.4,3.8,1.4
09/04/2022 20:30:00,2.2,3.52,1.32
09/04/2022 20:45:00,2,3.24,1.24
09/04/2022 21:00:00,2,3.04,1.04
09/04/2022 21:15:00,1.8,2.96,1.16
09/04/2022 21:30:00,1.8,2.84,1.04
09/04/2022 21:45:00,1.8,2.8,1
09/04/2022 22:00:00,1.6,2.76,1.16
09/04/2022 22:15:00,2.2,3.24,1.04
09/04/2022 22:30:00,2.6,4.36,1.76
09/04/2022 22:45:00,3.8,6.04,2.24
09/04/2022 23:00:00,4.2,6.48,2.28
09/04/2022 23:15:00,3.8,5.88,2.08
09/04/2022 23:30:00,3.2,5.28,2.08
09/04/2022 23:45:00,3,4.76,1.76
10/04/2022 00:00:00,2.8,4.36,1.56
10/04/2022 00:15:00,2.6,3.96,1.36
10/04/2022 00:30:00,2.2,3.68,1.48
10/04/2022 00:45:00,2.2,3.4,1.2
10/04/2022 01:00:00,2,3.24,1.24
10/04/2022 01:15:00,1.8,3,1.2
10/04/2022 01:30:00,1.8,2.88,1.08
10/04/2022 01:45:00,1.8,2.84,1.04
10/04/2022 02:00:00,1.8,2.76,0.96
10/04/2022 02:15:00,1.6,2.72,1.12
10/04/2022 02:30:00,1.8,2.68,0.88
10/04/2022 02:45:00,1.6,2.72,1.12
10/04/2022 03:00:00,2.2,3.36,1.16
10/04/2022 03:15:00,2.6,4.2,1.6
10/04/2022 03:30:00,3.2,5.16,1.96
10/04/2022 03:45:00,4,6.32,2.32
10/04/2022 04:00:00,5.2,8.04,2.84
10/04/2022 04:15:00,4.4,7,2.6
10/04/2022 04:30:00,3.8,5.96,2.16
10/04/2022 04:45:00,3.2,5.12,1.92
10/04/2022 05:00:00,2.8,4.44,1.64
10/04/2022 05:15:00,2.4,3.96,1.56
10/04/2022 05:30:00,2.4,3.6,1.2
10/04/2022 05:45:00,2,3.32,1.32
10/04/2022 06:00:00,2,3.16,1.16
10/04/2022 06:15:00,1.8,2.96,1.16
10/04/2022 06:30:00,2,3,1
10/04/2022 06:45:00,2.8,4.44,1.64
10/04/2022 07:00:00,3.8,6.08,2.28
10/04/2022 07:15:00,4.2,6.76,2.56
10/04/2022 07:30:00,4.6,7.2,2.6
10/04/2022 07:45:00,5,7.76,2.76
10/04/2022 08:00:00,6.8,10.56,3.76
10/04/2022 08:15:00,9.2,14.68,5.48
10/04/2022 08:30:00,7.8,12.56,4.76
10/04/2022 08:45:00,6,9.2,3.2
10/04/2022 09:00:00,4.6,7.2,2.6
10/04/2022 09:15:00,3.6,5.8,2.2
10/04/2022 09:30:00,3,4.8,1.8
10/04/2022 09:45:00,2.6,4.08,1.48
10/04/2022 10:00:00,2.2,3.6,1.4
10/04/2022 10:15:00,2.2,3.24,1.04
10/04/2022 10:30:00,1.8,3,1.2
10/04/2022 10:45:00,1.8,2.8,1
10/04/2022 11:00:00,1.8,2.8,1
10/04/2022 11:15:00,1.6,2.72,1.12
10/04/2022 11:30:00,1.6,2.68,1.08
10/04/2022 11:45:00,1.8,2.68,0.88
10/04/2022 12:00:00,1.6,2.68,1.08
10/04/2022 12:15:00,1.6,2.64,1.04
10/04/2022 12:30:00,1.6,2.64,1.04
10/04/2022 12:45:00,2,3.08,1.08
10/04/2022 13:00:00,2.6,4.04,1.44
10/04/2022 13:15:00,3.2,5.12,1.92
10/04/2022 13:30:00,3.2,5,1.8
10/04/2022 13:45:00,3,4.76,1.76
10/04/2022 14:00:00,2.6,4.2,1.6
10/04/2022 14:15:00,2.6,4.04,1.44
10/04/2022 14:30:00,2.6,4.24,1.64
10/04/2022 14:45:00,2.2,3.36,1.16
10/04/2022 15:00:00,1.8,3.12,1.32
10/04/2022 15:15:00,2,2.96,0.96
10/04/2022 15:30:00,2,3.24,1.24
10/04/2022 15:45:00,1.6,2.8,1.2
10/04/2022 16:00:00,1.8,2.68,0.88
10/04/2022 16:15:00,1.6,2.64,1.04
10/04/2022 16:30:00,1.8,2.92,1.12
10/04/2022 16:45:00,2.4,3.56,1.16
10/04/2022 17:00:00,3,4.88,1.88
10/04/2022 17:15:00,4,6.4,2.4
10/04/2022 17:30:00,4,6.24,2.24
10/04/2022 17:45:00,3.6,5.64,2.04
10/04/2022 18:00:00,3.2,5.04,1.84
10/04/2022 18:15:00,2.8,4.44,1.64
10/04/2022 18:30:00,2.4,4.04,1.64
10/04/2022 18:45:00,2.4,3.72,1.32
10/04/2022 19:00:00,2.4,3.88,1.48
10/04/2022 19:15:00,3.8,5.84,2.04
10/04/2022 19:30:00,4.4,6.88,2.48
10/04/2022 19:45:00,4.8,7.8,3
10/04/2022 20:00:00,5.6,8.92,3.32
10/04/2022 20:15:00,6.6,10.24,3.64
10/04/2022 20:30:00,5.8,9.2,3.4
10/04/2022 20:45:00,6.2,9.88,3.68
10/04/2022 21:00:00,6.8,10.6,3.8
10/04/2022 21:15:00,7.2,11.28,4.08
10/04/2022 21:30:00,6.2,9.96,3.76
10/04/2022 21:45:00,5.2,8.08,2.88
10/04/2022 22:00:00,4.2,6.64,2.44
10/04/2022 22:15:00,3.6,5.72,2.12
