Date of Reading,(CUS) UN0633 (Flow) (Flow (m3/hr)),(CUS) UN0630 (Flow) (Flow (m3/hr)),(IN) NX1201 (Flow) (Flow (m3/hr)),(OUT) UN0401 (Flow) (Flow (m3/hr)),(OUT) UN0601 (Flow) (Flow (m3/hr)),(OUT) UN0602 Flow (Flow (m3/hr)),(OUT) UN1301 15 Min flow (Flow (m3/hr)),(OUT) UN0402 Flow (Flow (m3/hr)),Pulborough 200mm Trunk main (Balance) (Flow (m3/hr))
26/04/2021 00:00:00,,,26,12.84,12.12,,,,1.04
26/04/2021 00:15:00,,,28.4,13.2,13.96,,,,1.24
26/04/2021 00:30:00,,,26,12.96,12.08,,,,0.96
26/04/2021 00:45:00,,,25.6,12.88,11.52,,,,1.2
26/04/2021 01:00:00,,,25.2,13,11.24,,,,0.96
26/04/2021 01:15:00,,,25.6,13.6,11.16,,,,0.84
26/04/2021 01:30:00,,,25.6,13.44,11.04,,,,1.12
26/04/2021 01:45:00,,,25.6,13.56,10.88,,,,1.16
26/04/2021 02:00:00,,,24.8,13.24,10.76,,,,0.8
26/04/2021 02:15:00,,,25.6,13.44,10.92,,,,1.24
26/04/2021 02:30:00,,,25.6,13.52,11.2,,,,0.88
26/04/2021 02:45:00,,,25.6,13.44,10.92,,,,1.24
26/04/2021 03:00:00,,,24.8,13.16,10.88,,,,0.76
26/04/2021 03:15:00,,,25.6,13.04,11.28,,,,1.28
26/04/2021 03:30:00,,,26,12.84,12.36,,,,0.8
26/04/2021 03:45:00,,,26.4,13.08,12.28,,,,1.04
26/04/2021 04:00:00,,,26.4,13.04,12.08,,,,1.28
26/04/2021 04:15:00,,,29.6,13.32,15.04,,,,1.24
26/04/2021 04:30:00,,,29.2,14.32,13.88,,,,1
26/04/2021 04:45:00,,,34.4,14.12,18.6,,,,1.68
26/04/2021 05:00:00,,,37.19999,15.36,20.16,,,,1.67999
26/04/2021 05:15:00,,,43.99999,17.52,24.64,,,,1.83999
26/04/2021 05:30:00,,,51.19999,19.92,29.32,,,,1.95999
26/04/2021 05:45:00,,,58,25.6,29.92,,,,2.48
26/04/2021 06:00:00,,,70.40002,28.6,38.72002,,,,3.08
26/04/2021 06:15:00,,,82.00001,31.8,47.04001,,,,3.16
26/04/2021 06:30:00,,,83.59999,31.12,48.96,,,,3.51999
26/04/2021 06:45:00,,,94,35.88,53.88001,,,,4.23999
26/04/2021 07:00:00,,,94.39999,34.92,55.55999,,,,3.92
26/04/2021 07:15:00,,,92.40001,34.4,53.96,,,,4.04001
26/04/2021 07:30:00,,,83.99999,32.16,48.39998,,,,3.44001
26/04/2021 07:45:00,,,81.60001,29.8,48.35999,,,,3.44002
26/04/2021 08:00:00,,,83.59999,31.2,48.84001,,,,3.55998
26/04/2021 08:15:00,,,79.6,31.88,44.39999,,,,3.32001
26/04/2021 08:30:00,,,81.20002,32.52,45.20002,,,,3.48
26/04/2021 08:45:00,,,81.60001,32.76,45.4,,,,3.44001
26/04/2021 09:00:00,,,79.2,33.68,42.27998,,,,3.24002
26/04/2021 09:15:00,,,80.39999,31.12,45.79999,,,,3.48
26/04/2021 09:30:00,,,74.40001,30.64,40.64,,,,3.12001
26/04/2021 09:45:00,,,69.99998,28.8,38.08001,,,,3.11997
26/04/2021 10:00:00,,,70.40002,28.6,39.08002,,,,2.72
26/04/2021 10:15:00,,,72,31,38.08001,,,,2.91999
26/04/2021 10:30:00,,,74.80001,31.12,40.52002,,,,3.15999
26/04/2021 10:45:00,,,66.80002,29.64,34.32,,,,2.84002
26/04/2021 11:00:00,,,72.79999,29,40.43999,,,,3.36
26/04/2021 11:15:00,,,70.80001,30,37.76,,,,3.04001
26/04/2021 11:30:00,,,70.40002,30.4,37.36001,,,,2.64001
26/04/2021 11:45:00,,,68.8,31.04,34.76,,,,3
26/04/2021 12:00:00,,,72.4,30.12,39.12001,,,,3.15999
26/04/2021 12:15:00,,,71.20001,28.84,39.39998,,,,2.96003
26/04/2021 12:30:00,,,68.4,27.68,37.68001,,,,3.03999
26/04/2021 12:45:00,,,68.4,25.84,39.67999,,,,2.88001
26/04/2021 13:00:00,,,66.80002,24.32,39.39998,,,,3.08004
26/04/2021 13:15:00,,,62.39999,24.48,35.4,,,,2.51999
26/04/2021 13:30:00,,,63.20002,23.56,36.83999,,,,2.80003
26/04/2021 13:45:00,,,63.20002,22.6,37.55999,,,,3.04003
26/04/2021 14:00:00,,,62.79998,23.56,36.72,,,,2.51998
26/04/2021 14:15:00,,,64.00001,25.24,35.88,,,,2.88001
26/04/2021 14:30:00,,,64.8,25.16,36.92002,,,,2.71998
26/04/2021 14:45:00,,,67.20001,24.68,39.48001,,,,3.04
26/04/2021 15:00:00,,,65.2,27.84,34.88,,,,2.48
26/04/2021 15:15:00,,,65.99999,29.08,34.2,,,,2.71999
26/04/2021 15:30:00,,,68.4,29.32,35.8,,,,3.28
26/04/2021 15:45:00,,,71.20001,30.36,37.8,,,,3.04001
26/04/2021 16:00:00,,,68,29.04,36.4,,,,2.56
26/04/2021 16:15:00,,,75.2,29.16,42.8,,,,3.24
26/04/2021 16:30:00,,,86,29.84,52.56,,,,3.6
26/04/2021 16:45:00,,,78.00001,30,44.44002,,,,3.55999
26/04/2021 17:00:00,,,79.2,31.12,44.64,,,,3.44
26/04/2021 17:15:00,,,90,37.00001,49.28,,,,3.71999
26/04/2021 17:30:00,,,86.8,33,49.84002,,,,3.95998
26/04/2021 17:45:00,,,91.59998,39.12001,48.6,,,,3.87997
26/04/2021 18:00:00,,,89.6,37.24002,48.71999,,,,3.63999
26/04/2021 18:15:00,,,87.99998,34.48,49.56001,,,,3.95997
26/04/2021 18:30:00,,,80.79998,33.44,43.84001,,,,3.51997
26/04/2021 18:45:00,,,76.39999,25,48.2,,,,3.19999
26/04/2021 19:00:00,,,68.8,22.64,43.08001,,,,3.07999
26/04/2021 19:15:00,,,73.59998,24.48,45.79999,,,,3.31999
26/04/2021 19:30:00,,,68.8,20.04,45.96001,,,,2.79999
26/04/2021 19:45:00,,,66.80002,20.32,43.40002,,,,3.08
26/04/2021 20:00:00,,,53.6,17.84,33.64,,,,2.12
26/04/2021 20:15:00,,,54,15.6,35.96,,,,2.44
26/04/2021 20:30:00,,,52.80001,16.24,34.16,,,,2.40001
26/04/2021 20:45:00,,,47.99999,16.32,29.56,,,,2.11999
26/04/2021 21:00:00,,,45.20002,15.44,27.76,,,,2.00002
26/04/2021 21:15:00,,,51.19999,16.6,32.24,,,,2.35999
26/04/2021 21:30:00,,,43.99999,13.6,28.64,,,,1.75999
26/04/2021 21:45:00,,,44.39999,16.4,26.08,,,,1.91999
26/04/2021 22:00:00,,,46.00001,18.76,25.24,,,,2.00001
26/04/2021 22:15:00,,,42.00001,16.96,23.12,,,,1.92001
26/04/2021 22:30:00,,,35.6,17.08,17.24,,,,1.28
26/04/2021 22:45:00,,,33.2,16.56,15,,,,1.64
26/04/2021 23:00:00,,,30.8,15.28,14.36,,,,1.16
26/04/2021 23:15:00,,,29.2,15,13.16,,,,1.04
26/04/2021 23:30:00,,,28.4,14.48,12.76,,,,1.16
26/04/2021 23:45:00,,,28,13.48,13.28,,,,1.24
27/04/2021 00:00:00,,,26,12.96,11.84,,,,1.2
27/04/2021 00:15:00,,,26,12.92,12,,,,1.08
27/04/2021 00:30:00,,,25.6,12.8,11.84,,,,0.96
27/04/2021 00:45:00,,,24.8,12.6,11.32,,,,0.88
27/04/2021 01:00:00,,,25.2,12.72,11.44,,,,1.04
27/04/2021 01:15:00,,,25.2,13,11.08,,,,1.12
27/04/2021 01:30:00,,,24.8,13.2,10.56,,,,1.04
27/04/2021 01:45:00,,,24.8,13.04,10.72,,,,1.04
27/04/2021 02:00:00,,,24,13.12,10.16,,,,0.72
27/04/2021 02:15:00,,,24.8,13.08,10.76,,,,0.96
27/04/2021 02:30:00,,,24.4,13.08,10.28,,,,1.04
27/04/2021 02:45:00,,,25.6,13.24,11.2,,,,1.16
27/04/2021 03:00:00,,,24.8,12.84,10.76,,,,1.2
27/04/2021 03:15:00,,,24.8,12.6,11.32,,,,0.88
27/04/2021 03:30:00,,,25.2,12.4,11.72,,,,1.08
27/04/2021 03:45:00,,,24.8,12.72,11.16,,,,0.92
27/04/2021 04:00:00,,,25.6,12.68,11.76,,,,1.16
27/04/2021 04:15:00,,,30,12.96,15.84,,,,1.2
27/04/2021 04:30:00,,,27.2,13.08,12.88,,,,1.24
27/04/2021 04:45:00,,,31.6,14.28,15.84,,,,1.48
27/04/2021 05:00:00,,,36,14.88,19.92,,,,1.2
27/04/2021 05:15:00,,,40.79999,17.6,21.48,,,,1.71999
27/04/2021 05:30:00,,,48.80002,19.16,27.36,,,,2.28002
27/04/2021 05:45:00,,,58,25.88,29.84,,,,2.28
27/04/2021 06:00:00,,,72.4,31.28,38.2,,,,2.92
27/04/2021 06:15:00,,,80.79998,32.2,44.92001,,,,3.67997
27/04/2021 06:30:00,,,85.20001,31.36,50.32001,,,,3.52
27/04/2021 06:45:00,,,91.19999,35.76,51.76001,,,,3.67998
27/04/2021 07:00:00,,,92.00002,35,52.92,,,,4.08002
27/04/2021 07:15:00,,,91.19999,33.88,53.68,,,,3.63999
27/04/2021 07:30:00,,,87.59999,32.84,50.87999,,,,3.88
27/04/2021 07:45:00,,,87.59999,32.72,51.23999,,,,3.64
27/04/2021 08:00:00,,,85.60001,31.08,50.51999,,,,4.00002
27/04/2021 08:15:00,,,77.19998,25.72,48.12001,,,,3.35997
27/04/2021 08:30:00,,,78.00001,26.2,48.6,,,,3.20001
27/04/2021 08:45:00,,,77.19998,27,46.76,,,,3.43998
27/04/2021 09:00:00,,,69.59999,25.84,40.96001,,,,2.79998
27/04/2021 09:15:00,,,70.40002,24.88,42.36001,,,,3.16001
27/04/2021 09:30:00,,,72.4,28.28,40.88002,,,,3.23998
27/04/2021 09:45:00,,,76.79999,28.12,45.51998,,,,3.16001
27/04/2021 10:00:00,,,75.2,26.12,45.83999,,,,3.24001
27/04/2021 10:15:00,,,66.80002,25.8,38.2,,,,2.80002
27/04/2021 10:30:00,,,65.59999,24.2,38.56,,,,2.83999
27/04/2021 10:45:00,,,62.79998,24.88,35.12,,,,2.79998
27/04/2021 11:00:00,,,67.60001,27.16,37.48,,,,2.96001
27/04/2021 11:15:00,,,64.4,24.72,36.83999,,,,2.84001
27/04/2021 11:30:00,,,64.4,26.04,35.6,,,,2.76
27/04/2021 11:45:00,,,65.99999,26.6,36.56002,,,,2.83997
27/04/2021 12:00:00,,,60.8,24.88,33.48,,,,2.44
27/04/2021 12:15:00,,,62.39999,24.92,34.8,,,,2.67999
27/04/2021 12:30:00,,,53.6,21.36,29.64,,,,2.6
27/04/2021 12:45:00,,,58.39999,23.12,33,,,,2.27999
27/04/2021 13:00:00,,,61.2,22.84,35.36,,,,3
27/04/2021 13:15:00,,,58,24.6,31.04,,,,2.36
27/04/2021 13:30:00,,,64.4,27.2,34.36,,,,2.84
27/04/2021 13:45:00,,,63.20002,26.68,33.96,,,,2.56002
27/04/2021 14:00:00,,,59.19998,23.8,32.92,,,,2.47998
27/04/2021 14:15:00,,,53.6,22.6,28.72,,,,2.28
27/04/2021 14:30:00,,,53.20001,23.96,26.68,,,,2.56001
27/04/2021 14:45:00,,,59.60002,25.52,31.72,,,,2.36002
27/04/2021 15:00:00,,,60.00001,25.52,31.96,,,,2.52001
27/04/2021 15:15:00,,,65.99999,27.92,35.12,,,,2.95999
27/04/2021 15:30:00,,,62.39999,25.28,34.4,,,,2.71999
27/04/2021 15:45:00,,,59.60002,22.56,34.8,,,,2.24002
27/04/2021 16:00:00,,,62.39999,22.52,36.92002,,,,2.95997
27/04/2021 16:15:00,,,65.99999,23.44,39.80002,,,,2.75997
27/04/2021 16:30:00,,,71.20001,24.84,43.36002,,,,2.99999
27/04/2021 16:45:00,,,73.59998,24.08,46.08,,,,3.43998
27/04/2021 17:00:00,,,73.59998,25.48,45.07999,,,,3.03999
27/04/2021 17:15:00,,,78.8,27.4,48.08002,,,,3.31998
27/04/2021 17:30:00,,,81.20002,30.2,47.2,,,,3.80002
27/04/2021 17:45:00,,,82.00001,30.4,48.08002,,,,3.51999
27/04/2021 18:00:00,,,85.20001,30.84,50.92002,,,,3.43999
27/04/2021 18:15:00,,,80.79998,27.12,50.08,,,,3.59998
27/04/2021 18:30:00,,,73.59998,25.56,44.71999,,,,3.31999
27/04/2021 18:45:00,,,72.79999,25.04,44.75999,,,,3
27/04/2021 19:00:00,,,74.80001,25.68,45.79999,,,,3.32002
27/04/2021 19:15:00,,,69.99998,22.32,44.71999,,,,2.95999
27/04/2021 19:30:00,,,66.80002,22.84,40.92001,,,,3.04001
27/04/2021 19:45:00,,,64.4,20.52,41,,,,2.88
27/04/2021 20:00:00,,,57.2,19,35.96,,,,2.24
27/04/2021 20:15:00,,,57.6,19.24,35.68,,,,2.68
27/04/2021 20:30:00,,,51.19999,18.32,30.72,,,,2.15999
27/04/2021 20:45:00,,,46.8,15.28,29.52,,,,2
27/04/2021 21:00:00,,,50.4,17.16,30.92,,,,2.32
27/04/2021 21:15:00,,,57.6,16.52,38.63999,,,,2.44001
27/04/2021 21:30:00,,,49.20001,13.84,33.28,,,,2.08001
27/04/2021 21:45:00,,,43.99999,14,28.12,,,,1.87999
27/04/2021 22:00:00,,,40.79999,13.32,25.64,,,,1.83999
27/04/2021 22:15:00,,,34.8,12.48,20.84,,,,1.48
27/04/2021 22:30:00,,,32.4,11.12,19.8,,,,1.48
27/04/2021 22:45:00,,,27.6,8.88,17.48,,,,1.24
27/04/2021 23:00:00,,,25.6,8.56,15.88,,,,1.16
27/04/2021 23:15:00,,,27.2,8.76,17.16,,,,1.28
27/04/2021 23:30:00,,,22.4,8.32,13.28,,,,0.8
27/04/2021 23:45:00,,,22.4,8.8,12.4,,,,1.2
28/04/2021 00:00:00,,,21.2,8.8,11.72,,,,0.68
28/04/2021 00:15:00,,,19.6,7.68,11.08,,,,0.84
28/04/2021 00:30:00,,,20,7.56,11.52,,,,0.92
28/04/2021 00:45:00,,,18.8,7.4,10.68,,,,0.72
28/04/2021 01:00:00,,,18.8,7.4,10.64,,,,0.76
28/04/2021 01:15:00,,,20.8,7.84,12.08,,,,0.88
28/04/2021 01:30:00,,,19.2,7.8,10.6,,,,0.8
28/04/2021 01:45:00,,,19.6,8,10.76,,,,0.84
28/04/2021 02:00:00,,,19.2,7.88,10.52,,,,0.8
28/04/2021 02:15:00,,,20,7.8,11.52,,,,0.68
28/04/2021 02:30:00,,,18.8,7.68,10.36,,,,0.76
28/04/2021 02:45:00,,,18.8,7.8,10.24,,,,0.76
28/04/2021 03:00:00,,,20.4,7.56,11.92,,,,0.92
28/04/2021 03:15:00,,,18.4,7.24,10.32,,,,0.84
28/04/2021 03:30:00,,,18.4,7.36,10.4,,,,0.64
28/04/2021 03:45:00,,,18.8,7.32,10.4,,,,1.08
28/04/2021 04:00:00,,,19.2,7.84,10.72,,,,0.64
28/04/2021 04:15:00,,,21.6,7.72,12.8,,,,1.08
28/04/2021 04:30:00,,,22,8.04,13.28,,,,0.68
28/04/2021 04:45:00,,,25.2,8.32,15.8,,,,1.08
28/04/2021 05:00:00,,,30.8,9.88,19.2,,,,1.72
28/04/2021 05:15:00,,,39.2,13.24,24.32,,,,1.64
28/04/2021 05:30:00,,,43.6,14.12,27.76,,,,1.72
28/04/2021 05:45:00,,,54,21.52,30.24,,,,2.24
28/04/2021 06:00:00,,,65.2,26.4,36.16002,,,,2.63998
28/04/2021 06:15:00,,,75.2,26.04,45.64001,,,,3.51999
28/04/2021 06:30:00,,,79.2,27.8,48.35999,,,,3.04001
28/04/2021 06:45:00,,,79.99999,26.4,49.84002,,,,3.75997
28/04/2021 07:00:00,,,84.39998,26.08,55.00001,,,,3.31997
28/04/2021 07:15:00,,,90,27.88,58.16002,,,,3.95998
28/04/2021 07:30:00,,,77.60002,25.64,48.6,,,,3.36002
28/04/2021 07:45:00,,,75.2,25.8,46.15999,,,,3.24001
28/04/2021 08:00:00,,,76,24.6,48.12001,,,,3.27999
28/04/2021 08:15:00,,,74.00002,24.2,46.4,,,,3.40002
28/04/2021 08:30:00,,,72,25.88,42.95999,,,,3.16001
28/04/2021 08:45:00,,,73.19999,25.96,44.24,,,,2.99999
28/04/2021 09:00:00,,,65.99999,25.72,37.36001,,,,2.91998
28/04/2021 09:15:00,,,68,26.52,38.88,,,,2.6
28/04/2021 09:30:00,,,64.8,26.72,35.08,,,,3
28/04/2021 09:45:00,,,64.00001,26.56,35.04,,,,2.40001
28/04/2021 10:00:00,,,64.8,25.44,36.32,,,,3.04
28/04/2021 10:15:00,,,58.79999,23.72,32.6,,,,2.47999
28/04/2021 10:30:00,,,58.79999,23.44,33.04,,,,2.31999
28/04/2021 10:45:00,,,61.99999,23.16,36,,,,2.83999
28/04/2021 11:00:00,,,61.6,22.68,36.36,,,,2.56
28/04/2021 11:15:00,,,63.60001,23.24,37.72001,,,,2.64
28/04/2021 11:30:00,,,67.20001,19.72,44.52001,,,,2.96
28/04/2021 11:45:00,,,69.19999,19.48,46.55999,,,,3.16
28/04/2021 12:00:00,,,61.99999,19.44,39.80002,,,,2.75997
28/04/2021 12:15:00,,,60.00001,19.72,37.51999,,,,2.76002
28/04/2021 12:30:00,,,51.19999,20.04,29.12,,,,2.03999
28/04/2021 12:45:00,,,52.80001,19.92,30.64,,,,2.24001
28/04/2021 13:00:00,,,58.79999,20.28,35.96,,,,2.55999
28/04/2021 13:15:00,,,48.80002,20.28,26.52,,,,2.00002
28/04/2021 13:30:00,,,48.80002,19.04,27.52,,,,2.24002
28/04/2021 13:45:00,,,47.59999,17.76,27.92,,,,1.91999
28/04/2021 14:00:00,,,49.60001,18.84,29.12,,,,1.64001
28/04/2021 14:15:00,,,46.8,17.52,27.12,,,,2.16
28/04/2021 14:30:00,,,43.99999,17.04,25.24,,,,1.71999
28/04/2021 14:45:00,,,48.39998,17.44,29.04,,,,1.91998
28/04/2021 15:00:00,,,52.40002,20.04,29.96,,,,2.40002
28/04/2021 15:15:00,,,52.80001,17.8,32.8,,,,2.20001
28/04/2021 15:30:00,,,50,17.04,30.56,,,,2.4
28/04/2021 15:45:00,,,51.99998,18.48,31.6,,,,1.91998
28/04/2021 16:00:00,,,54,18.88,32.44,,,,2.68
28/04/2021 16:15:00,,,53.20001,17.12,34,,,,2.08001
28/04/2021 16:30:00,,,56.00002,19.12,34.36,,,,2.52002
28/04/2021 16:45:00,,,56.80001,20.88,33.52,,,,2.40001
28/04/2021 17:00:00,,,63.60001,20.8,40.20001,,,,2.6
28/04/2021 17:15:00,,,71.20001,23.2,44.71999,,,,3.28002
28/04/2021 17:30:00,,,69.99998,22.96,44.16001,,,,2.87997
28/04/2021 17:45:00,,,69.59999,23.96,42.48,,,,3.15999
28/04/2021 18:00:00,,,70.40002,23.84,43.71998,,,,2.84004
28/04/2021 18:15:00,,,63.20002,21.16,39.39998,,,,2.64004
28/04/2021 18:30:00,,,61.2,18.52,40,,,,2.68
28/04/2021 18:45:00,,,58.39999,20.96,34.88,,,,2.55999
28/04/2021 19:00:00,,,60.00001,21.4,35.84,,,,2.76001
28/04/2021 19:15:00,,,61.2,21.12,37.44,,,,2.64
28/04/2021 19:30:00,,,55.59998,18.8,34.44,,,,2.35998
28/04/2021 19:45:00,,,52.40002,16.84,33.32,,,,2.24002
28/04/2021 20:00:00,,,53.6,16.28,35.12,,,,2.2
28/04/2021 20:15:00,,,54.4,16.68,35.04,,,,2.68
28/04/2021 20:30:00,,,44.79998,16.68,26.48,,,,1.63998
28/04/2021 20:45:00,,,43.99999,15.2,26.72,,,,2.07999
28/04/2021 21:00:00,,,44.39999,15.96,26.68,,,,1.75999
28/04/2021 21:15:00,,,52.40002,16.64,33.48,,,,2.28002
28/04/2021 21:30:00,,,44.79998,14.52,28.36,,,,1.91998
28/04/2021 21:45:00,,,42.00001,14.16,26,,,,1.84001
28/04/2021 22:00:00,,,39.2,13.2,24.08,,,,1.92
28/04/2021 22:15:00,,,35.2,12.32,21.32,,,,1.56
28/04/2021 22:30:00,,,29.2,10.2,17.6,,,,1.4
28/04/2021 22:45:00,,,26.4,9.24,16.04,,,,1.12
28/04/2021 23:00:00,,,24,8.8,14.28,,,,0.92
28/04/2021 23:15:00,,,23.6,9.32,13.44,,,,0.84
28/04/2021 23:30:00,,,21.6,8.24,12.28,,,,1.08
28/04/2021 23:45:00,,,21.2,8.72,11.52,,,,0.96
29/04/2021 00:00:00,,,19.6,8.52,10.64,,,,0.44
29/04/2021 00:15:00,,,18.4,7.48,10.12,,,,0.8
29/04/2021 00:30:00,,,18.4,7.44,10.04,,,,0.92
29/04/2021 00:45:00,,,18.4,7.2,10.32,,,,0.88
29/04/2021 01:00:00,,,17.6,7.12,9.84,,,,0.64
29/04/2021 01:15:00,,,20.4,7.4,12.08,,,,0.92
29/04/2021 01:30:00,,,18,7.76,9.72,,,,0.52
29/04/2021 01:45:00,,,17.6,7.16,9.6,,,,0.84
29/04/2021 02:00:00,,,17.6,7.16,9.64,,,,0.8
29/04/2021 02:15:00,,,18.4,7.32,10.36,,,,0.72
29/04/2021 02:30:00,,,17.2,6.96,9.52,,,,0.72
29/04/2021 02:45:00,,,16.8,7,9.28,,,,0.52
29/04/2021 03:00:00,,,17.2,6.88,9.68,,,,0.64
29/04/2021 03:15:00,,,17.6,7.32,9.52,,,,0.76
29/04/2021 03:30:00,,,18,7.12,10.04,,,,0.84
29/04/2021 03:45:00,,,18.4,7.08,10.64,,,,0.68
29/04/2021 04:00:00,,,18.4,7.28,10.4,,,,0.72
29/04/2021 04:15:00,,,23.2,7.6,14.6,,,,1
29/04/2021 04:30:00,,,21.6,7.68,12.96,,,,0.96
29/04/2021 04:45:00,,,24.4,9.08,14.12,,,,1.2
29/04/2021 05:00:00,,,28.8,10.04,17.36,,,,1.4
29/04/2021 05:15:00,,,36.79999,12.96,22.56,,,,1.27999
29/04/2021 05:30:00,,,40.39999,14,24.36,,,,2.03999
29/04/2021 05:45:00,,,53.20001,19.76,31.28,,,,2.16001
29/04/2021 06:00:00,,,64.4,23.52,38.36002,,,,2.51998
29/04/2021 06:15:00,,,72,26.92,41.87999,,,,3.20001
29/04/2021 06:30:00,,,71.6,24.36,44.35999,,,,2.88001
29/04/2021 06:45:00,,,83.2,30.32,49.47998,,,,3.40002
29/04/2021 07:00:00,,,79.99999,28.84,47.84,,,,3.31999
29/04/2021 07:15:00,,,88.40002,29.68,54.60001,,,,4.12001
29/04/2021 07:30:00,,,76,26.24,46.76,,,,3
29/04/2021 07:45:00,,,76,26.2,46.44,,,,3.36
29/04/2021 08:00:00,,,80.39999,29.4,47.59999,,,,3.4
29/04/2021 08:15:00,,,74.00002,26.16,44.6,,,,3.24002
29/04/2021 08:30:00,,,69.99998,24.12,42.8,,,,3.07998
29/04/2021 08:45:00,,,71.20001,26.68,41.64001,,,,2.88
29/04/2021 09:00:00,,,75.2,28.76,43.44001,,,,2.99999
29/04/2021 09:15:00,,,71.6,28.76,39.6,,,,3.24
29/04/2021 09:30:00,,,65.99999,25.56,37.55999,,,,2.88
29/04/2021 09:45:00,,,65.2,23.64,38.92,,,,2.64
29/04/2021 10:00:00,,,62.79998,21.52,38.31998,,,,2.96
29/04/2021 10:15:00,,,63.20002,21.4,39.39998,,,,2.40004
29/04/2021 10:30:00,,,69.19999,22.48,43.6,,,,3.11999
29/04/2021 10:45:00,,,60.8,25.16,33.16,,,,2.48
29/04/2021 11:00:00,,,61.99999,24.08,35.04,,,,2.87999
29/04/2021 11:15:00,,,55.59998,21.64,31.68,,,,2.27998
29/04/2021 11:30:00,,,64.8,21.2,40.64,,,,2.96
29/04/2021 11:45:00,,,57.6,19.52,35.8,,,,2.28
29/04/2021 12:00:00,,,59.60002,21.4,35.44,,,,2.76002
29/04/2021 12:15:00,,,54,20.76,31.16,,,,2.08
29/04/2021 12:30:00,,,53.20001,21.48,29.16,,,,2.56001
29/04/2021 12:45:00,,,49.60001,19.2,28.6,,,,1.80001
29/04/2021 13:00:00,,,51.99998,21.2,28.48,,,,2.31998
29/04/2021 13:15:00,,,48.39998,17.8,28.28,,,,2.31998
29/04/2021 13:30:00,,,49.60001,18.08,29.56,,,,1.96001
29/04/2021 13:45:00,,,51.19999,19.48,29.36,,,,2.35999
29/04/2021 14:00:00,,,51.19999,19.72,29.36,,,,2.11999
29/04/2021 14:15:00,,,47.2,19.4,25.88,,,,1.92
29/04/2021 14:30:00,,,49.20001,19.72,27.6,,,,1.88001
29/04/2021 14:45:00,,,47.2,19.36,25.68,,,,2.16
29/04/2021 15:00:00,,,52.80001,19.36,31.16,,,,2.28001
29/04/2021 15:15:00,,,54,20.76,30.8,,,,2.44
29/04/2021 15:30:00,,,51.19999,19.44,29.76,,,,1.99999
29/04/2021 15:45:00,,,54.4,19.04,32.8,,,,2.56
29/04/2021 16:00:00,,,57.6,20.96,34.52,,,,2.12
29/04/2021 16:15:00,,,58.39999,20.64,35,,,,2.75999
29/04/2021 16:30:00,,,63.20002,23.64,36.79999,,,,2.76003
29/04/2021 16:45:00,,,58.39999,20.64,35.28,,,,2.47999
29/04/2021 17:00:00,,,68.8,22.4,43.63999,,,,2.76001
29/04/2021 17:15:00,,,83.2,23.28,56.12,,,,3.8
29/04/2021 17:30:00,,,81.20002,22.04,55.59998,,,,3.56004
29/04/2021 17:45:00,,,83.2,22.4,57.12001,,,,3.67999
29/04/2021 18:00:00,,,69.19999,22.24,43.71998,,,,3.24001
29/04/2021 18:15:00,,,68.8,22.96,42.88,,,,2.96
29/04/2021 18:30:00,,,68.8,19.92,45.87998,,,,3.00002
29/04/2021 18:45:00,,,63.20002,17.2,43.27999,,,,2.72003
29/04/2021 19:00:00,,,60.00001,17.16,40,,,,2.84001
29/04/2021 19:15:00,,,54.4,17,35,,,,2.4
29/04/2021 19:30:00,,,57.6,16,38.88,,,,2.72
29/04/2021 19:45:00,,,54.4,17.8,34.52,,,,2.08
29/04/2021 20:00:00,,,51.19999,17.08,31.84,,,,2.27999
29/04/2021 20:15:00,,,50.8,17.08,31.56,,,,2.16
29/04/2021 20:30:00,,,47.99999,16.4,29.52,,,,2.07999
29/04/2021 20:45:00,,,45.20002,14,29.16,,,,2.04002
29/04/2021 21:00:00,,,42.40001,14.52,25.76,,,,2.12001
29/04/2021 21:15:00,,,56.40001,16.84,37.4,,,,2.16001
29/04/2021 21:30:00,,,46.00001,14.28,29.64,,,,2.08001
29/04/2021 21:45:00,,,39.6,13.44,24.52,,,,1.64
29/04/2021 22:00:00,,,38.00002,12.08,24.12,,,,1.80002
29/04/2021 22:15:00,,,31.6,10.24,20,,,,1.36
29/04/2021 22:30:00,,,27.6,9.16,17.08,,,,1.36
29/04/2021 22:45:00,,,27.2,9.28,16.72,,,,1.2
29/04/2021 23:00:00,,,26,8.8,16.32,,,,0.88
29/04/2021 23:15:00,,,24,8.24,14.36,,,,1.4
29/04/2021 23:30:00,,,20.8,7.16,12.8,,,,0.84
29/04/2021 23:45:00,,,19.6,7.32,11.6,,,,0.68
30/04/2021 00:00:00,,,19.6,7.52,11.44,,,,0.64
30/04/2021 00:15:00,,,18,6.6,10.68,,,,0.72
30/04/2021 00:30:00,,,18.8,6.76,11.16,,,,0.88
30/04/2021 00:45:00,,,18.4,6.44,10.96,,,,1
30/04/2021 01:00:00,,,17.6,6.32,10.72,,,,0.56
30/04/2021 01:15:00,,,19.2,7.28,11,,,,0.92
30/04/2021 01:30:00,,,18.4,6.88,10.6,,,,0.92
30/04/2021 01:45:00,,,18,7.12,10.44,,,,0.44
30/04/2021 02:00:00,,,18,6.92,10.24,,,,0.84
30/04/2021 02:15:00,,,18.8,6.92,11,,,,0.88
30/04/2021 02:30:00,,,18,7.2,10.28,,,,0.52
