Date of Reading,(CUS) IF0832 (Flow) (Flow (m3/hr)),(CUS) IF0833 (Flow) (Flow (m3/hr)),(IN) IF1801 (Flow) (Flow (m3/hr)),(OUT) IF0802 Flow (Flow (m3/hr)),Itchingfield 250mm east TM (Balance) (Flow (m3/hr))
19/08/2022 02:45:00,,,1.884,0,1.884
19/08/2022 03:00:00,,,2.12,0,2.12
19/08/2022 03:15:00,,,2.904,0,2.904
19/08/2022 03:30:00,,,1.744,0,1.744
19/08/2022 03:45:00,,,1.864,0,1.864
19/08/2022 04:00:00,,,1.796,0,1.796
19/08/2022 04:15:00,,,2.248,0,2.248
19/08/2022 04:30:00,,,2.536,0,2.536
19/08/2022 04:45:00,,,2.652,0,2.652
19/08/2022 05:00:00,,,3.432,0,3.432
19/08/2022 05:15:00,,,3.432,0,3.432
19/08/2022 05:30:00,,,3.608,0,3.608
19/08/2022 05:45:00,,,3.312,0,3.312
19/08/2022 06:00:00,,,4.964,0,4.964
19/08/2022 06:15:00,,,5.104,0,5.104
19/08/2022 06:30:00,,,5.864,0,5.864
19/08/2022 06:45:00,,,9.772,0,9.772
19/08/2022 07:00:00,,,9.652,0,9.652
19/08/2022 07:15:00,,,12.104,0,12.104
19/08/2022 07:30:00,,,14.448,0,14.448
19/08/2022 07:45:00,,,13.088,0,13.088
19/08/2022 08:00:00,,,13.572,0,13.572
19/08/2022 08:15:00,,,13.352,0,13.352
19/08/2022 08:30:00,,,13.868,0,13.868
19/08/2022 08:45:00,,,13.952,0,13.952
19/08/2022 09:00:00,,,12.928,0,12.928
19/08/2022 09:15:00,,,11.952,0,11.952
19/08/2022 09:30:00,,,13.12,0,13.12
19/08/2022 09:45:00,,,11.804,0,11.804
19/08/2022 10:00:00,,,10.236,0,10.236
19/08/2022 10:15:00,,,8.928,0,8.928
19/08/2022 10:30:00,,,12.936,0,12.936
19/08/2022 10:45:00,,,8.632,0,8.632
19/08/2022 11:00:00,,,9.364,0,9.364
19/08/2022 11:15:00,,,8.66,0,8.66
19/08/2022 11:30:00,,,11.74,0,11.74
19/08/2022 11:45:00,,,7.536,0,7.536
19/08/2022 12:00:00,,,7.184,0,7.184
19/08/2022 12:15:00,,,6.42,0,6.42
19/08/2022 12:30:00,,,6.98,0,6.98
19/08/2022 12:45:00,,,9.748,0,9.748
19/08/2022 13:00:00,,,8.768,0,8.768
19/08/2022 13:15:00,,,4.58,0,4.58
19/08/2022 13:30:00,,,5.104,0,5.104
19/08/2022 13:45:00,,,5.184,0,5.184
19/08/2022 14:00:00,,,4.332,0,4.332
19/08/2022 14:15:00,,,10.16,0,10.16
19/08/2022 14:30:00,,,5.916,0,5.916
19/08/2022 14:45:00,,,5.66,0,5.66
19/08/2022 15:00:00,,,4.504,0,4.504
19/08/2022 15:15:00,,,3.904,0,3.904
19/08/2022 15:30:00,,,4.784,0,4.784
19/08/2022 15:45:00,,,6.7,0,6.7
19/08/2022 16:00:00,,,4.272,0,4.272
19/08/2022 16:15:00,,,4.476,0,4.476
19/08/2022 16:30:00,,,5.14,0,5.14
19/08/2022 16:45:00,,,7.268,0,7.268
19/08/2022 17:00:00,,,4.676,0,4.676
19/08/2022 17:15:00,,,6.364,0,6.364
19/08/2022 17:30:00,,,5.284,0,5.284
19/08/2022 17:45:00,,,6.764,0,6.764
19/08/2022 18:00:00,,,8.26,0,8.26
19/08/2022 18:15:00,,,10.696,0,10.696
19/08/2022 18:30:00,,,5.972,0,5.972
19/08/2022 18:45:00,,,6.82,0,6.82
19/08/2022 19:00:00,,,8.264,0,8.264
19/08/2022 19:15:00,,,6.576,0,6.576
19/08/2022 19:30:00,,,5.92,0,5.92
19/08/2022 19:45:00,,,4.844,0,4.844
19/08/2022 20:00:00,,,6.764,0,6.764
19/08/2022 20:15:00,,,4.868,0,4.868
19/08/2022 20:30:00,,,5.28,0,5.28
19/08/2022 20:45:00,,,5.324,0,5.324
19/08/2022 21:00:00,,,3.788,0,3.788
19/08/2022 21:15:00,,,4.084,0,4.084
19/08/2022 21:30:00,,,3.944,0,3.944
19/08/2022 21:45:00,,,4.82,0,4.82
19/08/2022 22:00:00,,,5.924,0,5.924
19/08/2022 22:15:00,,,3.364,0,3.364
19/08/2022 22:30:00,,,3.66,0,3.66
19/08/2022 22:45:00,,,3.376,0,3.376
19/08/2022 23:00:00,,,3.008,0,3.008
19/08/2022 23:15:00,,,3.832,0,3.832
19/08/2022 23:30:00,,,2.348,0,2.348
19/08/2022 23:45:00,,,3.7,0,3.7
20/08/2022 00:00:00,,,2.356,0,2.356
20/08/2022 00:15:00,,,2.164,0,2.164
20/08/2022 00:30:00,,,2.224,0,2.224
20/08/2022 00:45:00,,,2.048,0,2.048
20/08/2022 01:00:00,,,1.884,0,1.884
20/08/2022 01:15:00,,,1.904,0,1.904
20/08/2022 01:30:00,,,2.98,0,2.98
20/08/2022 01:45:00,,,2.588,0,2.588
20/08/2022 02:00:00,,,1.876,0,1.876
20/08/2022 02:15:00,,,1.76,0,1.76
20/08/2022 02:30:00,,,1.612,0,1.612
20/08/2022 02:45:00,,,1.676,0,1.676
20/08/2022 03:00:00,,,1.844,0,1.844
20/08/2022 03:15:00,,,2.152,0,2.152
20/08/2022 03:30:00,,,3.14,0,3.14
20/08/2022 03:45:00,,,1.832,0,1.832
20/08/2022 04:00:00,,,1.876,0,1.876
20/08/2022 04:15:00,,,2.244,0,2.244
20/08/2022 04:30:00,,,2.252,0,2.252
20/08/2022 04:45:00,,,2.116,0,2.116
20/08/2022 05:00:00,,,2.704,0,2.704
20/08/2022 05:15:00,,,3.704,0,3.704
20/08/2022 05:30:00,,,2.948,0,2.948
20/08/2022 05:45:00,,,2.576,0,2.576
20/08/2022 06:00:00,,,2.724,0,2.724
20/08/2022 06:15:00,,,4.256,0,4.256
20/08/2022 06:30:00,,,5.14,0,5.14
20/08/2022 06:45:00,,,6.836,0,6.836
20/08/2022 07:00:00,,,8.244,0,8.244
20/08/2022 07:15:00,,,6.292,0,6.292
20/08/2022 07:30:00,,,7.564,0,7.564
20/08/2022 07:45:00,,,8.328,0,8.328
20/08/2022 08:00:00,,,11.352,0,11.352
20/08/2022 08:15:00,,,8.852,0,8.852
20/08/2022 08:30:00,,,9.228,0,9.228
20/08/2022 08:45:00,,,7.632,0,7.632
20/08/2022 09:00:00,,,8.604,0,8.604
20/08/2022 09:15:00,,,7.548,0,7.548
20/08/2022 09:30:00,,,8.08,0,8.08
20/08/2022 09:45:00,,,8.54,0,8.54
20/08/2022 10:00:00,,,8.14,0,8.14
20/08/2022 10:15:00,,,9.836,0,9.836
20/08/2022 10:30:00,,,6.884,0,6.884
20/08/2022 10:45:00,,,6.672,0,6.672
20/08/2022 11:00:00,,,5.848,0,5.848
20/08/2022 11:15:00,,,7.248,0,7.248
20/08/2022 11:30:00,,,6.144,0,6.144
20/08/2022 11:45:00,,,6.192,0,6.192
20/08/2022 12:00:00,,,5.028,0,5.028
20/08/2022 12:15:00,,,4.472,0,4.472
20/08/2022 12:30:00,,,7.572,0,7.572
20/08/2022 12:45:00,,,5.584,0,5.584
20/08/2022 13:00:00,,,5.092,0,5.092
20/08/2022 13:15:00,,,4.94,0,4.94
20/08/2022 13:30:00,,,4.296,0,4.296
20/08/2022 13:45:00,,,5.008,0,5.008
20/08/2022 14:00:00,,,4.664,0,4.664
20/08/2022 14:15:00,,,7.012,0,7.012
20/08/2022 14:30:00,,,4.536,0,4.536
20/08/2022 14:45:00,,,5.248,0,5.248
20/08/2022 15:00:00,,,4.312,0,4.312
20/08/2022 15:15:00,,,5.136,0,5.136
20/08/2022 15:30:00,,,4.352,0,4.352
20/08/2022 15:45:00,,,4.14,0,4.14
20/08/2022 16:00:00,,,5.468,0,5.468
20/08/2022 16:15:00,,,4.276,0,4.276
20/08/2022 16:30:00,,,4.764,0,4.764
20/08/2022 16:45:00,,,3.616,0,3.616
20/08/2022 17:00:00,,,6.428,0,6.428
20/08/2022 17:15:00,,,4.16,0,4.16
20/08/2022 17:30:00,,,4.66,0,4.66
20/08/2022 17:45:00,,,6.196,0,6.196
20/08/2022 18:00:00,,,5.072,0,5.072
20/08/2022 18:15:00,,,6.636,0,6.636
20/08/2022 18:30:00,,,6.256,0,6.256
20/08/2022 18:45:00,,,6.244,0,6.244
20/08/2022 19:00:00,,,5.252,0,5.252
20/08/2022 19:15:00,,,4.576,0,4.576
20/08/2022 19:30:00,,,4.772,0,4.772
20/08/2022 19:45:00,,,5.32,0,5.32
20/08/2022 20:00:00,,,3.964,0,3.964
20/08/2022 20:15:00,,,4.24,0,4.24
20/08/2022 20:30:00,,,3.752,0,3.752
20/08/2022 20:45:00,,,4.232,0,4.232
20/08/2022 21:00:00,,,4.72,0,4.72
20/08/2022 21:15:00,,,4.36,0,4.36
20/08/2022 21:30:00,,,5.388,0,5.388
20/08/2022 21:45:00,,,4.4,0,4.4
20/08/2022 22:00:00,,,4.984,0,4.984
20/08/2022 22:15:00,,,4.368,0,4.368
20/08/2022 22:30:00,,,3.6,0,3.6
