Date of Reading,(IN) BT0901 (Flow) (Flow (m3/hr)),(OUT) BT0301 (Flow) (Flow (m3/hr)),(OUT) BT0601 (Flow) (Flow (m3/hr)),(OUT) BT0701 (Flow) (Flow (m3/hr)),(OUT) BT0202 Flow (Flow (m3/hr)),Buchan Tower North outlet TM (Balance) (Flow (m3/hr))
27/06/2023 00:00:00,22.8,10.68,9.76,1.344,,1.016
27/06/2023 00:15:00,24.4,10.76,10.44,1.292,,1.908
27/06/2023 00:30:00,22,10.04,9.52,1.072,,1.368
27/06/2023 00:45:00,21.6,10.6,8.64,1.016,,1.344
27/06/2023 01:00:00,21.2,10.44,8.96,0.86,,0.94
27/06/2023 01:15:00,21.2,10.28,8,0.96,,1.96
27/06/2023 01:30:00,20.8,9.52,9.08,0.988,,1.212
27/06/2023 01:45:00,21.6,10.12,9.32,1.2,,0.96
27/06/2023 02:00:00,22,10.2,9.24,1.14,,1.42
27/06/2023 02:15:00,21.6,9.24,9.32,1.072,,1.968
27/06/2023 02:30:00,19.2,8.52,8.64,1.012,,1.028
27/06/2023 02:45:00,19.2,8.48,8.32,1.048,,1.352
27/06/2023 03:00:00,20.4,9.24,8.6,0.884,,1.676
27/06/2023 03:15:00,21.2,9.4,9.6,1.052,,1.148
27/06/2023 03:30:00,22.8,10.16,9.88,1.1,,1.66
27/06/2023 03:45:00,24,10.96,10.36,1.464,,1.216
27/06/2023 04:00:00,25.2,11.56,10.52,1.892,,1.228
27/06/2023 04:15:00,28,11.52,12.8,1.72,,1.96
27/06/2023 04:30:00,28.4,11.92,12.6,1.872,,2.008
27/06/2023 04:45:00,33.2,14.32,14.64,1.924,,2.316
27/06/2023 05:00:00,34,13.16,15.76,2.668,,2.412
27/06/2023 05:15:00,44.39999,18.88,19.52,3.272,,2.72799
27/06/2023 05:30:00,52.80001,21.16,23.76,5.352,,2.52801
27/06/2023 05:45:00,60.00001,24.56,25.4,6.58,,3.46001
27/06/2023 06:00:00,66.80002,28.08,29.44,5.504,,3.77602
27/06/2023 06:15:00,71.20001,30.16,29.08,7.768,,4.19201
27/06/2023 06:30:00,82.4,34.56,34.6,8.064,,5.176
27/06/2023 06:45:00,77.60002,33.24,31.64,7.776,,4.94402
27/06/2023 07:00:00,71.6,32.84,27.32,6.72,,4.72
27/06/2023 07:15:00,70.40002,31.68,29.16,5.964,,3.59602
27/06/2023 07:30:00,67.20001,29.88,28.24,6.132,,2.94801
27/06/2023 07:45:00,63.20002,26.96,28.6,5.228,,2.41202
27/06/2023 08:00:00,56.80001,24.04,25.24,5.1,,2.42001
27/06/2023 08:15:00,56.80001,26.52,23.2,4.976,,2.10401
27/06/2023 08:30:00,56.00002,24.84,24.4,4.54,,2.22002
27/06/2023 08:45:00,57.6,26.52,24.4,4.256,,2.424
27/06/2023 09:00:00,55.19999,24.04,24.44,4.292,,2.42799
27/06/2023 09:15:00,55.59998,27.44,21.96,3.748,,2.45198
27/06/2023 09:30:00,55.19999,24,22.6,5.572,,3.02799
27/06/2023 09:45:00,55.59998,24.32,23.36,4.4,,3.51998
27/06/2023 10:00:00,56.40001,25.04,24.84,3.252,,3.26801
27/06/2023 10:15:00,55.19999,24.72,23.76,3.22,,3.49999
27/06/2023 10:30:00,56.00002,25.08,23.96,3.864,,3.09602
27/06/2023 10:45:00,56.40001,24.4,24.12,4.364,,3.51601
27/06/2023 11:00:00,56.00002,24.6,25.36,3.356,,2.68402
27/06/2023 11:15:00,58.79999,26.12,26.8,3.572,,2.30799
27/06/2023 11:30:00,58.79999,27.12,25.2,3.912,,2.56799
27/06/2023 11:45:00,54,25.84,24,3.196,,0.964
27/06/2023 12:00:00,49.20001,21.56,23.68,2.708,,1.25201
27/06/2023 12:15:00,58,25.44,25.08,3.152,,4.328
27/06/2023 12:30:00,51.99998,24.12,22.24,3.5,,2.13998
27/06/2023 12:45:00,52.40002,24.28,23.8,2.528,,1.79202
27/06/2023 13:00:00,52.40002,24.24,22,3.244,,2.91602
27/06/2023 13:15:00,53.20001,23.96,23.52,3.76,,1.96001
27/06/2023 13:30:00,52.40002,24.44,21.44,3.776,,2.74402
27/06/2023 13:45:00,52.40002,22.92,23.28,3.268,,2.93202
27/06/2023 14:00:00,51.59999,20.6,23.92,3.512,,3.56799
27/06/2023 14:15:00,48.39998,21.72,22.32,2.364,,1.99598
27/06/2023 14:30:00,49.60001,22,22.28,3.416,,1.90401
27/06/2023 14:45:00,55.19999,26.44,23.72,2.644,,2.39599
27/06/2023 15:00:00,57.2,26.72,25,2.86,,2.62
27/06/2023 15:15:00,58,26.24,24.96,3.68,,3.12
27/06/2023 15:30:00,58,25.76,26.36,3.308,,2.572
27/06/2023 15:45:00,59.19998,27,25.4,3.808,,2.99198
27/06/2023 16:00:00,61.6,26.4,28.88,3.884,,2.436
27/06/2023 16:15:00,66.80002,29.92,29.12,4.668,,3.09202
27/06/2023 16:30:00,68,30.4,29.08,4.924,,3.596
27/06/2023 16:45:00,70.40002,31.48,29.56,5.032,,4.32802
27/06/2023 17:00:00,76.39999,32.2,33.44,7.108,,3.65199
27/06/2023 17:15:00,76.39999,34.88,33.32,5.164,,3.03599
27/06/2023 17:30:00,81.60001,34.16,36.47999,7.268,,3.69202
27/06/2023 17:45:00,86,37.91999,37.72001,6.844,,3.516
27/06/2023 18:00:00,82.4,36.36,35.24,7.728,,3.072
27/06/2023 18:15:00,86.4,39.12001,37.24002,7,,3.03997
27/06/2023 18:30:00,87.99998,40.11998,37.08,6.52,,4.28
27/06/2023 18:45:00,84.80002,37.04,33.76,7,,7.00002
27/06/2023 19:00:00,85.60001,39.64,36.92002,6.092,,2.94799
27/06/2023 19:15:00,82.8,39.12001,33.72,7.208,,2.75199
27/06/2023 19:30:00,82.8,37.28002,33.56,6.132,,5.82798
27/06/2023 19:45:00,76,32.68,33.32,6.284,,3.716
27/06/2023 20:00:00,72.79999,32.84,28.52,6.344,,5.09599
27/06/2023 20:15:00,72.79999,31.92,30.04,6,,4.83999
27/06/2023 20:30:00,69.99998,31.96,25.64,6.96,,5.43998
27/06/2023 20:45:00,68.8,31.24,27,6.924,,3.636
27/06/2023 21:00:00,61.99999,27.72,25.64,5.244,,3.39599
27/06/2023 21:15:00,61.6,27.56,24.2,4.476,,5.364
27/06/2023 21:30:00,55.59998,24.12,23.04,5.148,,3.29198
27/06/2023 21:45:00,54.79999,25.64,21.48,4.38,,3.29999
27/06/2023 22:00:00,51.59999,23.88,19.96,3.576,,4.18399
27/06/2023 22:15:00,47.59999,21.96,18.92,3.496,,3.22399
27/06/2023 22:30:00,46.00001,20.36,18.48,3.228,,3.93201
27/06/2023 22:45:00,38.80001,17.16,15.36,3.028,,3.25201
27/06/2023 23:00:00,35.2,15.6,15.2,1.864,,2.536
27/06/2023 23:15:00,34.4,16.84,13.28,1.692,,2.588
27/06/2023 23:30:00,32.8,15.48,13.24,1.624,,2.456
27/06/2023 23:45:00,27.2,11.72,11.96,1.352,,2.168
28/06/2023 00:00:00,26.4,12.16,11.04,1.208,,1.992
28/06/2023 00:15:00,24.8,12.04,10.04,1.216,,1.504
28/06/2023 00:30:00,22,9.32,9.4,1,,2.28
28/06/2023 00:45:00,21.6,10.08,9.08,0.932,,1.508
28/06/2023 01:00:00,20.8,9.24,9.16,0.928,,1.472
28/06/2023 01:15:00,20.8,9.16,9.04,1.064,,1.536
28/06/2023 01:30:00,19.6,8.36,8.76,1.048,,1.432
28/06/2023 01:45:00,20,8.8,8.6,0.912,,1.688
28/06/2023 02:00:00,19.6,8.64,8.68,1.008,,1.272
28/06/2023 02:15:00,20.4,9,9.16,0.92,,1.32
28/06/2023 02:30:00,20.8,8.56,9.32,0.916,,2.004
28/06/2023 02:45:00,20,9.24,8.84,0.884,,1.036
28/06/2023 03:00:00,20.4,9.16,8.84,0.936,,1.464
28/06/2023 03:15:00,21.2,9.84,9.36,0.94,,1.06
28/06/2023 03:30:00,23.6,10.16,10.68,1.132,,1.628
28/06/2023 03:45:00,24.8,11,10.36,1.448,,1.992
28/06/2023 04:00:00,26.8,11.84,11.28,2.22,,1.46
28/06/2023 04:15:00,30,13.28,13.48,1.744,,1.496
28/06/2023 04:30:00,32.8,15.6,13.8,1.652,,1.748
28/06/2023 04:45:00,36.4,16.2,15.28,2.548,,2.372
28/06/2023 05:00:00,38.00002,15.12,17.36,2.176,,3.34402
28/06/2023 05:15:00,45.20002,20.28,18.56,3.524,,2.83602
28/06/2023 05:30:00,52.80001,23.2,21.2,5.008,,3.39201
28/06/2023 05:45:00,63.60001,27.84,25.08,7.172,,3.50801
28/06/2023 06:00:00,66.39998,30.72,26.52,5.184,,3.97598
28/06/2023 06:15:00,75.6,31.72,30.52,7.132,,6.228
28/06/2023 06:30:00,83.2,35.44,31.2,7.612,,8.948
28/06/2023 06:45:00,79.2,33.88,33.4,7.548,,4.372
28/06/2023 07:00:00,79.2,34.36,33,6.42,,5.42
28/06/2023 07:15:00,76.79999,34.8,31.8,6.52,,3.67999
28/06/2023 07:30:00,70.80001,30.12,30.76,6.48,,3.44001
28/06/2023 07:45:00,66.80002,28.12,28.6,5.64,,4.44002
28/06/2023 08:00:00,63.60001,27,28.88,4.492,,3.22801
28/06/2023 08:15:00,63.60001,28.88,26.88,4.076,,3.76401
28/06/2023 08:30:00,67.60001,30.12,29.92,4.664,,2.89601
28/06/2023 08:45:00,62.79998,28.84,27.2,3.364,,3.39598
28/06/2023 09:00:00,58.79999,26.8,25.52,3.512,,2.96799
28/06/2023 09:15:00,58.39999,27.04,23.56,5.192,,2.60799
28/06/2023 09:30:00,60.8,30.52,23.52,3.76,,3
28/06/2023 09:45:00,56.80001,26.8,24.2,3.824,,1.97601
28/06/2023 10:00:00,56.40001,25.76,25,3.552,,2.08801
28/06/2023 10:15:00,58.79999,25.72,26.04,4.452,,2.58799
28/06/2023 10:30:00,58.79999,27.2,25.48,3.632,,2.48799
28/06/2023 10:45:00,61.6,27.84,26.4,4.316,,3.044
28/06/2023 11:00:00,56.80001,26.12,25.56,3.312,,1.80801
28/06/2023 11:15:00,57.2,27.52,24.16,3.884,,1.636
28/06/2023 11:30:00,59.60002,28.76,25.28,3.308,,2.25202
28/06/2023 11:45:00,54.4,25.56,23.2,3.356,,2.284
28/06/2023 12:00:00,52.80001,22.36,24.08,3.572,,2.78801
28/06/2023 12:15:00,51.59999,21.36,22.52,4.388,,3.33199
28/06/2023 12:30:00,51.99998,22.32,23.72,3.432,,2.52798
28/06/2023 12:45:00,52.80001,24.2,22.84,2.92,,2.84001
28/06/2023 13:00:00,53.20001,23.6,23.88,3.608,,2.11201
28/06/2023 13:15:00,52.80001,24.52,23.24,2.888,,2.15201
28/06/2023 13:30:00,49.60001,22.2,22.76,2.916,,1.72401
28/06/2023 13:45:00,51.99998,23.72,21.92,3.644,,2.71598
28/06/2023 14:00:00,51.59999,23.32,22.88,2.736,,2.66399
28/06/2023 14:15:00,48.39998,22.16,20.72,3.248,,2.27198
28/06/2023 14:30:00,54.4,25.36,22.04,4.804,,2.196
28/06/2023 14:45:00,60.00001,28.52,24.24,4.592,,2.64801
28/06/2023 15:00:00,57.2,24.8,26.28,4.168,,1.952
28/06/2023 15:15:00,61.6,26.64,28.12,4.456,,2.384
28/06/2023 15:30:00,62.79998,27.52,28.44,4.452,,2.38798
28/06/2023 15:45:00,60.40001,27.32,25.8,5.224,,2.05601
28/06/2023 16:00:00,61.2,26.8,25.04,6.104,,3.256
28/06/2023 16:15:00,66.39998,27.36,29.12,5.672,,4.24798
28/06/2023 16:30:00,69.19999,30.2,28.84,5.312,,4.84799
28/06/2023 16:45:00,71.20001,29.92,31,6.448,,3.83201
28/06/2023 17:00:00,70.80001,29.04,32.8,5.832,,3.12801
28/06/2023 17:15:00,77.60002,33.52,33.92,7.676,,2.48402
28/06/2023 17:30:00,79.6,34.96,35.8,6.628,,2.212
28/06/2023 17:45:00,80.79998,34,36.60001,6.9,,3.29997
28/06/2023 18:00:00,85.20001,37.87999,34.84,9.06,,3.42002
28/06/2023 18:15:00,83.59999,34.28,34.2,8.232,,6.88799
28/06/2023 18:30:00,79.99999,35.72,33.04,7.348,,3.89199
28/06/2023 18:45:00,81.20002,36.92002,31.68,8.632,,3.968
28/06/2023 19:00:00,80.79998,35.8,33.72,8.028,,3.25198
28/06/2023 19:15:00,79.2,35.48,33.24,7.8,,2.68
28/06/2023 19:30:00,82.4,38.48,32.44,7.628,,3.852
28/06/2023 19:45:00,82.00001,38.00002,32.88,7.472,,3.64799
28/06/2023 20:00:00,74.80001,35.16,31.04,5.24,,3.36001
28/06/2023 20:15:00,80.39999,37.04,32.68,7.288,,3.39199
28/06/2023 20:30:00,70.40002,31.68,27.8,5.896,,5.02402
28/06/2023 20:45:00,68,30.6,27.2,6.484,,3.716
28/06/2023 21:00:00,67.20001,32.84,25.92,4.54,,3.90001
28/06/2023 21:15:00,64.00001,28.4,25,5.916,,4.68401
28/06/2023 21:30:00,59.19998,28.08,23.12,4.32,,3.67998
28/06/2023 21:45:00,55.19999,26,23.16,3.54,,2.49999
28/06/2023 22:00:00,52.40002,24.64,20.84,3.74,,3.18002
28/06/2023 22:15:00,47.59999,21.68,20.56,2.756,,2.60399
28/06/2023 22:30:00,44.79998,20.8,17.76,3.424,,2.81598
28/06/2023 22:45:00,37.19999,17.2,15.88,2.304,,1.81599
28/06/2023 23:00:00,34.4,15.68,14.48,1.976,,2.264
28/06/2023 23:15:00,34,15.48,14.04,1.888,,2.592
28/06/2023 23:30:00,31.2,14.56,13.32,1.388,,1.932
28/06/2023 23:45:00,26.8,12.72,10.92,1.128,,2.032
29/06/2023 00:00:00,24.8,11.48,9.68,1.12,,2.52
29/06/2023 00:15:00,26.4,12.16,10.8,1.656,,1.784
29/06/2023 00:30:00,24,10.8,9.96,1.352,,1.888
29/06/2023 00:45:00,24.8,11.24,10.76,0.928,,1.872
29/06/2023 01:00:00,22,9.96,9.2,0.924,,1.916
29/06/2023 01:15:00,22,9.8,8.6,1.528,,2.072
29/06/2023 01:30:00,21.6,9.92,8.6,1.208,,1.872
29/06/2023 01:45:00,22.8,10.4,9.36,1.268,,1.772
29/06/2023 02:00:00,21.2,10.08,8.24,1.184,,1.696
29/06/2023 02:15:00,21.2,9.76,8.32,1.032,,2.088
29/06/2023 02:30:00,21.2,10.08,8.52,1.072,,1.528
29/06/2023 02:45:00,20.4,9.4,8.12,1.024,,1.856
29/06/2023 03:00:00,20.4,9.48,8.48,0.856,,1.584
29/06/2023 03:15:00,22.8,10.2,9.96,0.88,,1.76
29/06/2023 03:30:00,22.4,10.08,9.8,0.996,,1.524
29/06/2023 03:45:00,24.4,10.44,10.76,1.116,,2.084
29/06/2023 04:00:00,25.6,12.28,9.96,1.66,,1.7
29/06/2023 04:15:00,27.2,11.84,11.88,1.876,,1.604
29/06/2023 04:30:00,28,12.52,11.76,1.756,,1.964
29/06/2023 04:45:00,31.6,13.64,13.84,1.464,,2.656
29/06/2023 05:00:00,33.6,13.76,14.96,2.564,,2.316
29/06/2023 05:15:00,41.60002,19.2,16.92,2.64,,2.84002
29/06/2023 05:30:00,46.4,19.16,19.92,4.364,,2.956
29/06/2023 05:45:00,54.79999,22.24,22.28,5.196,,5.08399
29/06/2023 06:00:00,63.60001,27.88,25.56,5.548,,4.61201
29/06/2023 06:15:00,66.39998,30.28,24.04,7.064,,5.01598
29/06/2023 06:30:00,73.59998,31.2,30.6,7.224,,4.57598
29/06/2023 06:45:00,74.00002,32.28,30.32,7.476,,3.92402
29/06/2023 07:00:00,72,32.92,29.32,5.7,,4.06
29/06/2023 07:15:00,69.19999,29.36,29.6,6.092,,4.14799
29/06/2023 07:30:00,68,30.2,29.12,5.236,,3.444
29/06/2023 07:45:00,57.2,24.12,24.8,5.564,,2.716
29/06/2023 08:00:00,59.60002,30.36,22.32,3.992,,2.92802
29/06/2023 08:15:00,58,28.84,22.44,3.656,,3.064
29/06/2023 08:30:00,61.99999,29.92,25.96,3.64,,2.47999
29/06/2023 08:45:00,60.8,29.64,24.04,3.796,,3.324
29/06/2023 09:00:00,60.8,30.88,23.6,3.376,,2.944
29/06/2023 09:15:00,60.40001,30.8,23,3.536,,3.06401
29/06/2023 09:30:00,58.39999,28.92,23,3.104,,3.37599
29/06/2023 09:45:00,60.00001,27.36,24.72,3.572,,4.34801
29/06/2023 10:00:00,60.40001,28.88,23.8,3,,4.72001
29/06/2023 10:15:00,63.20002,28.16,26.16,4.172,,4.70802
29/06/2023 10:30:00,63.20002,30.6,23.32,4.784,,4.49602
29/06/2023 10:45:00,62.39999,30.72,22.64,5.38,,3.65999
29/06/2023 11:00:00,58.79999,28.84,23.12,3.848,,2.99199
29/06/2023 11:15:00,64.00001,28.2,26.64,5.136,,4.02401
29/06/2023 11:30:00,52.80001,22.08,22.84,4.368,,3.51201
29/06/2023 11:45:00,52.80001,22.8,21.92,3.168,,4.91201
29/06/2023 12:00:00,55.19999,25,24.2,3.26,,2.73999
29/06/2023 12:15:00,58.39999,26.08,26.56,3.592,,2.16799
29/06/2023 12:30:00,53.6,23.76,24.12,3.176,,2.544
29/06/2023 12:45:00,55.19999,26.6,22.52,3.452,,2.62799
29/06/2023 13:00:00,49.60001,22.6,22.16,2.976,,1.86401
29/06/2023 13:15:00,48.80002,22.04,21.52,2.952,,2.28802
29/06/2023 13:30:00,54,23.28,24.32,2.932,,3.468
29/06/2023 13:45:00,53.6,23.36,22.64,3.932,,3.668
29/06/2023 14:00:00,52.40002,24.96,21.28,3.068,,3.09202
29/06/2023 14:15:00,55.19999,27.4,21.8,3.048,,2.95199
29/06/2023 14:30:00,51.99998,23.68,21.4,3.728,,3.19198
29/06/2023 14:45:00,56.40001,26.36,23.92,3.316,,2.80401
29/06/2023 15:00:00,60.00001,26.92,26.4,2.476,,4.20401
29/06/2023 15:15:00,57.6,25.12,25.56,3.788,,3.132
29/06/2023 15:30:00,56.00002,27.12,23.4,3.336,,2.14402
29/06/2023 15:45:00,60.8,28.76,25.6,3.176,,3.264
29/06/2023 16:00:00,64.00001,28.36,28.2,3.556,,3.88401
29/06/2023 16:15:00,64.8,28.64,27.8,4.52,,3.84
29/06/2023 16:30:00,64.00001,27.36,29.08,3.848,,3.71201
29/06/2023 16:45:00,65.99999,30.44,26.76,4.612,,4.18799
29/06/2023 17:00:00,71.20001,31,30.36,5.424,,4.41601
29/06/2023 17:15:00,72.79999,31.28,29.52,6.968,,5.03199
29/06/2023 17:30:00,76,31.92,29.16,7.52,,7.4
29/06/2023 17:45:00,83.59999,33.8,36.56002,8.124,,5.11597
29/06/2023 18:00:00,80.79998,31.88,36.32,8.548,,4.05198
29/06/2023 18:15:00,82.00001,35.4,33.84,8.328,,4.43201
29/06/2023 18:30:00,82.4,39.12001,30.76,5.892,,6.62799
29/06/2023 18:45:00,81.60001,37.84,32.4,5.744,,5.61601
29/06/2023 19:00:00,78.40001,35.88,31.04,6.38,,5.10001
29/06/2023 19:15:00,80.39999,36.92002,32.76,7.064,,3.65597
29/06/2023 19:30:00,78.40001,34.92,33.08,6.756,,3.64401
29/06/2023 19:45:00,73.59998,32.04,29.68,7.328,,4.55198
29/06/2023 20:00:00,71.6,32.28,28.72,6.072,,4.528
29/06/2023 20:15:00,74.80001,36.28001,27.04,7.032,,4.448
29/06/2023 20:30:00,72.4,33.4,27.88,7.016,,4.104
29/06/2023 20:45:00,69.99998,30.48,28.6,6.308,,4.61198
29/06/2023 21:00:00,64.00001,29.28,27.12,3.556,,4.04401
29/06/2023 21:15:00,64.8,28.88,27.28,4.204,,4.436
29/06/2023 21:30:00,65.59999,28.76,28.8,4.668,,3.37199
29/06/2023 21:45:00,58.79999,25.8,26.76,3.32,,2.91999
29/06/2023 22:00:00,54.79999,23.76,22.2,5.04,,3.79999
29/06/2023 22:15:00,48.80002,21.68,19.76,4.152,,3.20802
29/06/2023 22:30:00,50.8,23.32,20.52,3.916,,3.044
29/06/2023 22:45:00,42.8,19.4,18.72,2.656,,2.024
29/06/2023 23:00:00,37.59998,17.84,15.72,1.472,,2.56798
29/06/2023 23:15:00,34.4,16.64,13.64,1.312,,2.808
29/06/2023 23:30:00,31.6,15.04,13.12,1.58,,1.86
29/06/2023 23:45:00,28.4,13.88,11.72,1.36,,1.44
30/06/2023 00:00:00,26.4,12.12,11.4,1.516,,1.364
30/06/2023 00:15:00,27.6,12.56,11.8,1.4,,1.84
30/06/2023 00:30:00,26,11.96,11.08,1.368,,1.592
30/06/2023 00:45:00,24,10.68,10.44,1.096,,1.784
30/06/2023 01:00:00,23.2,9.64,10.48,1.028,,2.052
30/06/2023 01:15:00,24,10.08,11.12,1.416,,1.384
30/06/2023 01:30:00,24.4,10.36,11.28,1.1,,1.66
30/06/2023 01:45:00,22.8,10.36,10.12,1,,1.32
30/06/2023 02:00:00,22.4,10.2,9.96,0.864,,1.376
30/06/2023 02:15:00,21.2,9.28,9.68,0.908,,1.332
30/06/2023 02:30:00,22,9.04,9.64,1.672,,1.648
30/06/2023 02:45:00,22,9.52,9.84,1.12,,1.52
30/06/2023 03:00:00,22,9.72,9.8,1.112,,1.368
30/06/2023 03:15:00,24.8,10.76,11,1.124,,1.916
30/06/2023 03:30:00,24.4,10.76,10.64,1.1,,1.9
30/06/2023 03:45:00,24,11.28,9.92,1.312,,1.488
30/06/2023 04:00:00,26.4,12.64,10.68,1.568,,1.512
30/06/2023 04:15:00,28,11.84,12.84,1.944,,1.376
30/06/2023 04:30:00,30.8,13.24,14,1.848,,1.712
30/06/2023 04:45:00,34,14.24,15.6,1.584,,2.576
30/06/2023 05:00:00,35.6,15.84,15.44,1.864,,2.456
30/06/2023 05:15:00,40.79999,16.36,17.72,3.26,,3.45999
30/06/2023 05:30:00,51.59999,20.88,23.16,4.38,,3.17999
30/06/2023 05:45:00,55.59998,24.08,23.04,5.148,,3.33198
30/06/2023 06:00:00,64.8,29,26.56,6.1,,3.14
30/06/2023 06:15:00,74.00002,30.48,30.88,7.176,,5.46402
30/06/2023 06:30:00,79.2,33.24,32.72,7.46,,5.78
30/06/2023 06:45:00,75.6,32.6,31.68,6.124,,5.196
30/06/2023 07:00:00,75.6,33.84,32.6,5.9,,3.26
30/06/2023 07:15:00,76,32.36,33.28,7.04,,3.32
30/06/2023 07:30:00,71.6,33.16,29.12,5.196,,4.124
30/06/2023 07:45:00,66.39998,28.12,29.84,4.92,,3.51998
30/06/2023 08:00:00,63.20002,25.92,29.24,4.868,,3.17202
30/06/2023 08:15:00,65.2,29.28,26.48,6.628,,2.812
30/06/2023 08:30:00,67.60001,29.12,28.24,5.968,,4.27201
30/06/2023 08:45:00,69.99998,28.52,31.64,5.868,,3.97198
30/06/2023 09:00:00,61.6,27.28,26.28,5.26,,2.78
30/06/2023 09:15:00,61.6,26.32,26.68,5.52,,3.08
30/06/2023 09:30:00,64.8,29.28,27.64,4.864,,3.016
30/06/2023 09:45:00,59.60002,24.92,26.12,4.996,,3.56402
30/06/2023 10:00:00,64.00001,27.44,28.32,4.764,,3.47601
30/06/2023 10:15:00,59.60002,23.52,29.08,4.036,,2.96402
30/06/2023 10:30:00,61.99999,26.6,27.12,4.716,,3.56399
30/06/2023 10:45:00,61.2,26.72,27.28,4.14,,3.06
30/06/2023 11:00:00,61.6,27.28,25.84,3.508,,4.972
30/06/2023 11:15:00,61.6,26.08,28.64,4.024,,2.856
30/06/2023 11:30:00,60.8,27.56,26.64,3.536,,3.064
30/06/2023 11:45:00,58.39999,26.08,26.4,3.608,,2.31199
30/06/2023 12:00:00,60.40001,27.96,25.28,3.744,,3.41601
30/06/2023 12:15:00,59.60002,26.68,24.52,3.784,,4.61602
30/06/2023 12:30:00,57.6,24.76,25.44,3.964,,3.436
30/06/2023 12:45:00,52.40002,24.44,22.04,3.032,,2.88802
30/06/2023 13:00:00,54.4,23.84,23.6,3.132,,3.828
30/06/2023 13:15:00,54.4,24.2,23.08,3.78,,3.34
30/06/2023 13:30:00,53.6,24.04,22.92,3.888,,2.752
30/06/2023 13:45:00,51.59999,22.4,21.52,3.764,,3.91599
30/06/2023 14:00:00,47.99999,20.2,21.52,3.964,,2.31599
30/06/2023 14:15:00,49.20001,19.76,21.32,4.964,,3.15601
30/06/2023 14:30:00,51.99998,21.72,22.48,4.932,,2.86798
30/06/2023 14:45:00,60.00001,27.56,24.56,4.164,,3.71601
30/06/2023 15:00:00,58.79999,27.8,23.6,4.172,,3.22799
30/06/2023 15:15:00,59.60002,26.4,24.84,4.972,,3.38802
30/06/2023 15:30:00,53.20001,24.24,21.96,4.196,,2.80401
30/06/2023 15:45:00,58.79999,25.4,25.08,4.024,,4.29599
30/06/2023 16:00:00,63.20002,28.16,26.92,4.876,,3.24402
30/06/2023 16:15:00,64.8,26.96,26.96,6.028,,4.852
30/06/2023 16:30:00,66.80002,29.4,28.64,4.692,,4.06802
30/06/2023 16:45:00,67.60001,28.96,27.56,5.432,,5.64801
30/06/2023 17:00:00,66.39998,29.8,28.88,4.34,,3.37998
30/06/2023 17:15:00,70.40002,31.48,29.4,4.86,,4.66002
30/06/2023 17:30:00,66.80002,28.04,29.76,5.184,,3.81602
30/06/2023 17:45:00,72,31.4,30.04,5.692,,4.868
30/06/2023 18:00:00,72,31.04,31.44,5,,4.52
30/06/2023 18:15:00,72.4,31.72,31.44,4.832,,4.408
30/06/2023 18:30:00,69.19999,32.72,27.72,4.688,,4.07199
30/06/2023 18:45:00,71.20001,34,26.52,5.44,,5.24001
30/06/2023 19:00:00,68.4,31.64,26.84,4.94,,4.98
30/06/2023 19:15:00,67.20001,31.28,27,5.112,,3.80801
30/06/2023 19:30:00,66.39998,28.64,28.68,5.44,,3.63998
30/06/2023 19:45:00,65.99999,27.88,27.8,4.892,,5.42799
30/06/2023 20:00:00,65.99999,30.04,25.32,4.512,,6.12799
30/06/2023 20:15:00,64.8,27.84,26.68,6.524,,3.756
30/06/2023 20:30:00,63.60001,26.28,26.52,6.104,,4.69601
30/06/2023 20:45:00,59.19998,26.4,23.08,4.54,,5.17998
30/06/2023 21:00:00,56.00002,25.76,23.64,2.976,,3.62402
30/06/2023 21:15:00,53.6,25.4,22.56,2.636,,3.004
30/06/2023 21:30:00,52.80001,23.08,22,3.744,,3.97601
30/06/2023 21:45:00,50.8,22.16,22.56,3.068,,3.012
30/06/2023 22:00:00,44.39999,19.08,19.44,2.744,,3.13599
30/06/2023 22:15:00,44.79998,20.88,18.48,2.668,,2.77198
30/06/2023 22:30:00,46.00001,20.28,19.52,3.18,,3.02001
30/06/2023 22:45:00,41.60002,18.44,17.36,2.62,,3.18002
30/06/2023 23:00:00,36.79999,16.76,15.44,2.488,,2.11199
30/06/2023 23:15:00,32.4,15.16,13.56,1.5,,2.18
30/06/2023 23:30:00,29.2,12.76,12.8,1.384,,2.256
30/06/2023 23:45:00,30.4,12.52,13.68,1.636,,2.564
01/07/2023 00:00:00,29.6,12.92,13.4,1.376,,1.904
01/07/2023 00:15:00,27.2,11.36,12.12,1.812,,1.908
01/07/2023 00:30:00,26,11.6,10.76,1.352,,2.288
01/07/2023 00:45:00,23.6,11.04,9.8,1.104,,1.656
01/07/2023 01:00:00,22.4,9.68,9.6,1.024,,2.096
01/07/2023 01:15:00,22.4,10.28,9.28,1.092,,1.748
01/07/2023 01:30:00,23.2,10.64,9.64,1.124,,1.796
01/07/2023 01:45:00,21.2,9.04,9.36,1.344,,1.456
01/07/2023 02:00:00,22.4,9.72,9.48,1.208,,1.992
01/07/2023 02:15:00,21.2,8.8,9.68,1.204,,1.516
01/07/2023 02:30:00,20,8.68,8.96,1.036,,1.324
01/07/2023 02:45:00,20.8,9.08,9.08,1.124,,1.516
01/07/2023 03:00:00,20.4,8.76,9,1.444,,1.196
01/07/2023 03:15:00,22.4,10.36,9.16,1.296,,1.584
